method,median,sd,min,max,Q1,Q3,se_est,n,n_diag,n_pts,matrix
pnorm,0.25059960782527924,3.727147171322022e-5,0.25049760937690735,0.2506985068321228,0.250576876103878,0.2506272941827774,0.00010594790328468661,2048,30,245760,sparse
pnorm_sparse,0.2505979141243583,2.963101448048659e-5,0.25050507999124144,0.25067217456885177,0.2505791400805561,0.2506167248871459,8.548361827497814e-5,2048,30,245760,sparse
tlr,0.25055228380290817,4.75987958739746e-5,0.2504210300335942,0.2506673340366263,0.25053138933943087,0.25059223665813873,4.006933532268115e-5,2048,30,245760,sparse
pnorm,0.2503746747970581,3.134145352527374e-5,0.250306099653244,0.25044459104537964,0.2503451183438301,0.2503942623734474,9.3165983344079e-5,4096,30,24576,sparse
pnorm_sparse,0.2503722790705229,4.673619614345303e-5,0.25023940861494426,0.2504993290678739,0.25034057862338976,0.2503993033962299,0.00012510659308425263,4096,30,24576,sparse
tlr,0.2503498014177363,5.487853518335506e-5,0.2502006773342827,0.25047624299123633,0.2503184962884301,0.25038766215461866,5.250786584057244e-5,4096,30,24576,sparse
pnorm,0.2503780573606491,3.887066437167734e-5,0.25027450919151306,0.2504541575908661,0.2503548339009285,0.2504010796546936,0.0001293281005928293,4096,30,245760,sparse
pnorm_sparse,0.25036944560253327,2.73491582989736e-5,0.2502878687877867,0.25042449326145383,0.25035306425904386,0.2503911234287899,7.507770086753645e-5,4096,30,245760,sparse
tlr,0.2503502051590233,3.16964423755213e-5,0.25027209044437215,0.2504159393149815,0.2503271620700704,0.25037030416273554,3.3114318644338923e-5,4096,30,245760,sparse
pnorm,0.6981345117092133,0.0006475327223358392,0.6965546607971191,0.6996671557426453,0.6976733505725861,0.6985510140657425,0.001981580718420446,256,,24576,fixed
pnorm_sparse,0.6981817325071522,0.0006484703999704154,0.696284780286132,0.6996636157933205,0.6977576733477936,0.6987502681540597,0.0019365251312400459,256,,24576,fixed
tlr,0.6979823525306412,0.0010614709143003619,0.6949476953509748,0.7008480188303897,0.6972241026046675,0.6986431427057253,0.0009337255635503955,256,,24576,fixed
pnorm,0.6980742514133453,0.0003042130725747199,0.6971579194068909,0.6989152431488037,0.6978916078805923,0.6983150839805603,0.0009070514322957024,256,,245760,fixed
pnorm_sparse,0.6981064054161192,0.00032733111423258833,0.6971974257558372,0.6988363330520375,0.6978829400619095,0.6983059028647078,0.000907586653047816,256,,245760,fixed
tlr,0.6980074708247481,0.00040323217469764405,0.697035302253416,0.6990103665032957,0.6978199159451286,0.6983436503751029,0.00035791284716623966,256,,245760,fixed
pnorm,0.7389122247695923,0.0006214132324262136,0.7371899485588074,0.7401824593544006,0.7384787797927856,0.7392858862876892,0.0020065491180866956,512,,24576,fixed
