method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,sim
pnorm,0.2661408456288585,7.060613597281596e-6,0.26612288192956274,0.26615721681511123,0.266136146633029,0.2661459276514583,1.9126975114625316e-5,64,245760,sim1
mvnormcdf,0.26614026390439394,7.64584392674618e-6,0.26611855175069354,0.26615658154517263,0.2661346416170363,0.26614594171353145,2.2024788239495717e-5,64,245760,sim1
mvnmvt,0.2661394127229165,1.4284927592912133e-5,0.26611145478113657,0.2661834955198046,0.2661283115055083,0.26614775591242346,3.57210133257521e-5,64,245760,sim1
tlr,0.2661389336020824,1.1588627350824672e-5,0.266112566242605,0.2661750072751119,0.26613328358333393,0.2661479635487613,2.074912442973312e-5,64,245760,sim1
pnorm,0.26197532792243083,6.931492768975712e-5,0.2618094551187396,0.2621377461655096,0.2619253278108895,0.2620210045723848,0.00020050490331871982,128,24576,sim1
mvnormcdf,0.26199186054792445,8.775098931561316e-5,0.26177187159584747,0.26217795504113417,0.26193379490519414,0.262047463607331,0.0002511122211689319,128,24576,sim1
mvnmvt,0.2619858517570411,8.189956274461245e-5,0.2617451257741564,0.2621621892678574,0.26192504162361335,0.26205600614197533,0.00027939050568558804,128,24576,sim1
tlr,0.261982903210159,0.00010658815720875973,0.26169549378420204,0.26224389670809006,0.26192212885600924,0.26203565594908085,0.0002228451914792592,128,24576,sim1
pnorm,0.2619827330556632,1.018840324802684e-5,0.26195708266481055,0.26200409880487174,0.2619758829501837,0.26198879383951046,3.1966717362312075e-5,128,245760,sim1
mvnormcdf,0.2619834065011382,1.266476721146043e-5,0.2619462859026883,0.262018150977793,0.2619749386137061,0.2619912035552844,3.622309148669955e-5,128,245760,sim1
mvnmvt,0.26198679743751907,3.233707247123561e-5,0.2619183554413876,0.2620820929328956,0.26196099428123154,0.262011552764354,8.847812124047477e-5,128,245760,sim1
tlr,0.26198154890985853,1.732536969930289e-5,0.2619357755350412,0.26202883161513857,0.2619672913075581,0.2619915657487603,3.220918407886683e-5,128,245760,sim1
pnorm,0.25849004733539066,8.126821551234637e-5,0.25823334157199035,0.25871599703301507,0.25844775209306164,0.25853334014443974,0.0002371897797014382,256,24576,sim1
mvnormcdf,0.25850764709475693,8.723751733133294e-5,0.2583228177891846,0.2587166585875931,0.25843886017823303,0.25857170514685457,0.0002906436414665152,256,24576,sim1
mvnmvt,0.258484950634473,0.00013047726507230166,0.2581657472997095,0.2587673754315179,0.25840209879980036,0.2585975073111403,0.00038824155688302304,256,24576,sim1
tlr,0.25850981774086146,0.0001180999364415995,0.258170124401497,0.25881087094315297,0.2584114150919405,0.2585891759082145,0.0002348101884529687,256,24576,sim1
pnorm,0.2584998794403081,1.6659883784110515e-5,0.25846664453370427,0.2585381641683692,0.2584874208585363,0.25851066648063437,5.4366992791266996e-5,256,245760,sim1
