method,median,min,max,Q1,Q3,n,n_diag,n_pts,matrix
pnorm,0.1455906045,0.134979292,0.215836416,0.1379957815,0.1758418125,2048,30,24576,sparse
pnorm_sparse,0.1019406875,0.09015825,0.178966,0.0964283855,0.13223741700000002,2048,30,24576,sparse
tlr,6.031999999999243,6.00800000000163,6.129000000000815,6.025000000001455,6.041249999998399,2048,30,24576,sparse
pnorm,0.819064938,0.737212583,0.913844416,0.74724852075,0.8371789894999999,2048,30,245760,sparse
pnorm_sparse,0.79270475,0.701034125,0.988645333,0.74279345825,0.84300975025,2048,30,245760,sparse
tlr,70.45550000000003,70.30000000000291,70.67700000000332,70.40100000000166,70.53649999999652,2048,30,245760,sparse
pnorm,0.5753273329999999,0.535745625,0.621090917,0.5436273545,0.602113323,4096,30,24576,sparse
pnorm_sparse,0.33004093749999996,0.276698125,0.410396209,0.29372490649999994,0.35648617725,4096,30,24576,sparse
tlr,20.812999999998283,20.648000000001048,20.932999999997264,20.781749999998283,20.87025000000176,4096,30,24576,sparse
pnorm,2.4750024164999997,2.41902775,2.519154709,2.455572115,2.4966531145,4096,30,245760,sparse
pnorm_sparse,1.738904563,1.676956875,2.086374959,1.7170380314999998,1.77780089625,4096,30,245760,sparse
tlr,222.8969999999972,222.49700000000303,223.71300000000338,222.7657500000023,223.07750000000306,4096,30,245760,sparse
pnorm,0.0069887295000000006,0.006550666,0.031250708,0.0067898125,0.0073486045,256,,24576,fixed
pnorm_sparse,0.015213250000000001,0.014026667,0.022124291,0.01478497875,0.02056129175,256,,24576,fixed
tlr,0.40700000000651926,0.40599999998812564,0.4250000000029104,0.40699999999196734,0.40700000000651926,256,,24576,fixed
pnorm,0.06545849949999999,0.063081958,0.089313292,0.06465305225000001,0.06680629175,256,,245760,fixed
pnorm_sparse,0.1730011455,0.152073667,0.243290667,0.16219931275,0.1825447815,256,,245760,fixed
tlr,4.815999999998894,4.783999999999651,4.927999999999884,4.804999999993015,4.89100000000326,256,,245760,fixed
pnorm,0.016415979499999997,0.013354084,0.059305833,0.01564876075,0.017223020749999998,512,,24576,fixed
pnorm_sparse,0.058853229,0.048749334,0.069306,0.055927468999999994,0.06105288525,512,,24576,fixed
tlr,0.8940000000002328,0.8889999999955762,0.9040000000095461,0.893000000010943,0.8950000000040745,512,,24576,fixed
pnorm,0.139165042,0.131108334,0.161889125,0.13636940674999998,0.141396937,512,,245760,fixed
pnorm_sparse,0.596058625,0.474185417,0.833958583,0.536779115,0.7513052394999999,512,,245760,fixed
tlr,10.44199999999546,10.402999999991152,10.488000000012107,10.429000000003725,10.452000000004773,512,,245760,fixed
pnorm,0.0375397705,0.033962084,0.043982042,0.036090323,0.03868816675,1024,,24576,fixed
pnorm_sparse,0.20719325,0.158599917,0.289338667,0.19310840625,0.21597316675,1024,,24576,fixed
tlr,2.1189999999915017,2.1079999999928987,2.13300000000163,2.1159999999945285,2.1200000000098953,1024,,24576,fixed
pnorm,0.25116202099999996,0.24647325,0.290077959,0.24999852074999998,0.25280012500000004,1024,,245760,fixed
pnorm_sparse,1.8983293335,1.599638292,2.526231416,1.8041386872499998,2.1179942085,1024,,245760,fixed
tlr,25.198499999998603,25.114000000001397,25.289999999993597,25.167749999993248,25.24275000000125,1024,,245760,fixed
pnorm,0.1260332295,0.112380792,0.193520917,0.1155563225,0.1544803225,2048,,24576,fixed
pnorm_sparse,0.6442843334999999,0.580268417,0.744373083,0.62034225975,0.6802669165,2048,,24576,fixed
tlr,6.01600000000326,5.994999999995343,6.080000000001746,6.0090000000018335,6.024249999991298,2048,,24576,fixed
pnorm,0.8151726665,0.712862417,0.908787083,0.7702486144999999,0.8330873229999999,2048,,245760,fixed
pnorm_sparse,6.204323896,5.617564958,6.617021541,5.965370437000001,6.44009518775,2048,,245760,fixed
tlr,70.25,70.11300000001211,70.95799999999872,70.1907499999943,70.32174999999916,2048,,245760,fixed
pnorm,0.4727661455,0.424081292,0.523280375,0.44494299,0.49153942700000003,4096,,24576,fixed
pnorm_sparse,2.3163099794999997,2.275588583,2.407228583,2.301608146,2.345898312,4096,,24576,fixed
tlr,20.87750000000233,20.706999999994878,21.14900000000489,20.85000000000582,20.913250000001426,4096,,24576,fixed
pnorm,2.3845824795,2.3255295,2.433206458,2.3565046560000003,2.40279331225,4096,,245760,fixed
pnorm_sparse,21.200575333499998,21.041179458,21.921658583,21.13839230175,21.40937086525,4096,,245760,fixed
