method,median,sd,min,max,Q1,Q3,se_est,n,n_pts
pnorm,0.26644880791418557,0.0006374197085817916,0.2659980841157854,0.2668995317125857,0.2662234460149855,0.2666741698133856,0.0003136822118535024,64,12000
mvnormcdf,0.26660340623599516,0.0004655810666711153,0.26627419070655994,0.26693262176543037,0.26643879847127755,0.26676801400071276,0.0002444898180495762,64,12000
mvnmvt,0.2664951194332944,0.0005482061900253991,0.266107479118839,0.2668827597477498,0.2663012992760667,0.2666889395905221,0.00013248153363391716,64,12000
tlr,0.26651579653293933,0.0005314419269581697,0.26614001034258034,0.26689158272329827,0.2663279034377598,0.2667036896281188,3.2834061296833655e-5,64,12000
pnorm,0.262133698259035,0.00010659869631553106,0.26205832159800463,0.26220907492006534,0.26209600992851984,0.26217138658955014,0.001130720262974322,128,2400
mvnormcdf,0.2620364085622332,0.0002015386731829119,0.2618938991997542,0.26217891792471215,0.26196515388099373,0.2621076632434727,0.0008941119057875488,128,2400
mvnmvt,0.26186411757127764,0.0002936725062681506,0.2616564597506474,0.2620717753919079,0.2617602886609625,0.2619679464815928,0.0002891273751771213,128,2400
tlr,0.2619078583107157,0.0001215034939677856,0.2618219423661932,0.2619937742552382,0.26186490033845444,0.26195081628297695,0.00015003057175461495,128,2400
pnorm,0.2620826422133347,0.0002785576377818782,0.26188567221870784,0.2622796122079616,0.2619841572160213,0.2621811272106481,0.00038901716286181926,128,12000
mvnormcdf,0.2620110767405569,9.83258140035864e-5,0.2619415498907093,0.2620806035904045,0.2619763133156331,0.2620458401654807,0.0002961195570343312,128,12000
mvnmvt,0.2619524767696991,7.609727304591731e-5,0.2618986678718985,0.26200628566749967,0.2619255723207988,0.2619793812185994,0.00023446140982364712,128,12000
tlr,0.2618850624979818,0.00010969779411354317,0.2618074944438829,0.2619626305520807,0.26184627847093234,0.26192384652503126,2.3687536030641032e-5,128,12000
pnorm,0.2584728150898133,7.156807559456262e-5,0.2584222088182439,0.2585234213613827,0.2584475119540286,0.258498118225598,0.0011275591125878737,256,2400
mvnormcdf,0.2584441330628166,0.00011213118519601869,0.258364844341382,0.2585234217842512,0.2584044887020993,0.2584837774235339,0.0011524051881733003,256,2400
mvnmvt,0.25852995276019797,6.282550265239362e-5,0.258485528421241,0.25857437709915493,0.25850774059071946,0.2585521649296765,0.00037153160868624044,256,2400
tlr,0.2584734001751261,0.00017456269860471933,0.2583499657072005,0.2585968346430517,0.2584116829411633,0.2585351174090889,0.00017431151746145817,256,2400
pnorm,0.25842792380364776,0.00011570075163560672,0.2583461110175779,0.2585097365897177,0.2583870174106128,0.25846883019668276,0.00040314215559963376,256,12000
mvnormcdf,0.2583854585781857,7.700328916471284e-5,0.25833100903024364,0.2584399081261277,0.25835823380421463,0.2584126833521567,0.00041295928180471483,256,12000
mvnmvt,0.25836509104195515,0.0001317331897375739,0.2582719416101844,0.25845824047372595,0.2583185163260698,0.2584116657578406,0.00040710367475305163,256,12000
tlr,0.258497460991439,1.3837623738032777e-6,0.2584964825236809,0.25849843945919704,0.2584969717575599,0.258497950225318,4.474266870884378e-5,256,12000
pnorm,0.2557418078611675,0.0002733920160483207,0.25554849051269746,0.2559351252096375,0.2556451491869325,0.2558384665354025,0.0008554481950009442,512,2400
mvnormcdf,0.255463007563172,0.00020747924285173912,0.25531629758359603,0.25560971754274786,0.255389652573384,0.2555363625529599,0.0007577149315355315,512,2400
mvnmvt,0.2555383598344757,0.0001207390017077363,0.2554529844676145,0.25562373520133697,0.2554956721510451,0.25558104751790633,0.0005207004193401846,512,2400
tlr,0.2555641997673628,0.0001270906799408958,0.25547433308575096,0.2556540664489746,0.25551926642655687,0.2556091331081687,0.00015369071116857696,512,2400
