Section,Calls,Time_sec,Alloc_MiB,Percent,n,n_pts
Clculation of CDFs,7862400,0.3073871361875,0.25418663024902344,0.037230097319278156,4096,1024
Computation of quantiles,7862400,0.2983849006875,0.28661251068115234,0.03613976508250028,4096,1024
Internal multiplication,7862400,0.21273485025,0.15640926361083984,0.025766007244943517,4096,1024
Generating QMC points,170,0.002068294,1.27685546875,0.05194371386394597,16,16384
Cholesky,10,4.9999e-5,0.033416748046875,0.0012556888670002596,16,16384
Pre-allocation,10,0.000708336,4.1769561767578125,0.01778934837287737,16,16384
Affine scrambling,460800,0.0028884454375,1.8482580184936523,0.0725412264006569,16,16384
BLAS mul!,30720,9.80798125e-5,0.4729757308959961,0.002463203836751193,16,16384
Clculation of CDFs,460800,0.015702545125,3.939544677734375,0.39435810910281605,16,16384
Computation of quantiles,460800,0.0131523089375,4.351156234741211,0.3303107643786228,16,16384
Internal multiplication,460800,0.0051499763125,1.841294288635254,0.12933794517732955,16,16384
Generating QMC points,170,0.005775613,5.07537841796875,0.02927568667193197,64,16384
Cholesky,10,0.000386834,0.352020263671875,0.0019608015596007094,64,16384
Pre-allocation,10,0.0009750819999999999,15.783096313476562,0.004942539451905931,64,16384
Affine scrambling,1935360,0.0131918945625,2.533450126647949,0.06686766786848654,64,16384
BLAS mul!,30720,0.0001224451875,0.6422224044799805,0.0006206556678461596,64,16384
Clculation of CDFs,1935360,0.076404188375,4.242082595825195,0.38728098286532825,64,16384
Computation of quantiles,1935360,0.0716188066875,3.998610496520996,0.3630246251611588,64,16384
Internal multiplication,1935360,0.028808741,1.8273229598999023,0.14602704075374165,64,16384
Generating QMC points,170,0.020088996,20.26580810546875,0.022572813011772042,256,16384
Cholesky,10,0.006400543,5.142059326171875,0.007191910452508749,256,16384
Pre-allocation,10,0.0023976659999999997,65.71961975097656,0.0026941150410246194,256,16384
Affine scrambling,7833600,0.0550582846875,1.9375247955322266,0.06186572813294648,256,16384
BLAS mul!,30720,0.00012848625,0.3588132858276367,0.0001443723765903381,256,16384
Clculation of CDFs,7833600,0.307138211625,3.7922592163085938,0.34511298721853473,256,16384
Computation of quantiles,7833600,0.2994616385625,4.462045669555664,0.336487277486151,256,16384
Internal multiplication,7833600,0.1992903971875,1.7167224884033203,0.22393079628047208,256,16384
Generating QMC points,170,0.067427128,81.02798461914062,0.01580908279687616,1024,16384
Cholesky,10,0.166499207,80.55221557617188,0.03903769635683167,1024,16384
Pre-allocation,10,0.007480166999999982,261.71510314941406,0.0017538130859950088,1024,16384
Affine scrambling,31426560,0.282350431375,2.1203746795654297,0.0662003777966203,1024,16384
BLAS mul!,122880,0.562323159625,0.46824073791503906,0.13184327514457733,1024,16384
Clculation of CDFs,31426560,1.1996899443125,4.178853988647461,0.2812814103578023,1024,16384
Computation of quantiles,31426560,1.1754364606875,4.615175247192383,0.27559489601093135,1024,16384
Internal multiplication,31426560,0.803881418,2.077594757080078,0.18847944845036577,1024,16384
Generating QMC points,170,0.324740992,324.0748596191406,0.005989112280339874,4096,16384
Cholesky,10,5.213877375,1282.1928405761719,0.09615816230184679,4096,16384
Pre-allocation,10,0.06273741800000021,1945.699478149414,0.0011570496175013752,4096,16384
Affine scrambling,125798400,2.4203520595,2.562750816345215,0.04463791328905393,4096,16384
BLAS mul!,491520,29.659935047125,1.1954107284545898,0.547010342398718,4096,16384
Clculation of CDFs,125798400,5.1936071435625,4.044360160827637,0.09578432378124614,4096,16384
Computation of quantiles,125798400,4.9149637433125,4.663490295410156,0.0906453772010961,4096,16384
Internal multiplication,125798400,6.4316770125625,2.5626134872436523,0.1186177191301976,4096,16384
