method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
pnorm_sparse32,0.3386126756668091,0.0037464579421495957,0.327288419008255,0.34539803862571716,0.3359781801700592,0.34121301025152206,0.011854227590374649,2048,245760,mattern_cov1
pnorm_sparse,0.4872113644700887,0.002727137980540299,0.48062522349567116,0.4937260000402555,0.485591719364533,0.48890034969368085,0.00761689703615211,4096,24576,mattern_cov1
pnorm_sparse32,0.48621031641960144,0.0025767570898386377,0.47972702980041504,0.4936051666736603,0.4847918823361397,0.4883987382054329,0.00783890816848725,4096,24576,mattern_cov1
pnorm_sparse,0.4866134879778926,0.0015233402355272724,0.48250780693475553,0.4902751553207236,0.4856604339417715,0.48763056617343997,0.004582122592049876,4096,245760,mattern_cov1
pnorm_sparse32,0.4875167906284332,0.0051253477182331515,0.47750306129455566,0.49774372577667236,0.4823800399899483,0.49082381278276443,0.014970135614275933,4096,245760,mattern_cov1
pnorm_sparse,0.2499999999999926,2.2316322462394835e-16,0.2499999999999926,0.2499999999999926,0.2499999999999926,0.2499999999999926,2.5105862770194153e-17,256,24576,mattern_cov2
pnorm_sparse32,0.24999499320983887,0.0,0.24999499320983887,0.24999499320983887,0.24999499320983887,0.24999499320983887,0.0,256,24576,mattern_cov2
pnorm_sparse,0.24999999999999248,3.3474483693592255e-16,0.24999999999999248,0.24999999999999248,0.24999999999999248,0.24999999999999248,5.0211725540388305e-17,256,245760,mattern_cov2
pnorm_sparse32,0.24999505281448364,0.0,0.24999505281448364,0.24999505281448364,0.24999505281448364,0.24999505281448364,1.3478606675221272e-8,256,245760,mattern_cov2
pnorm_sparse,0.24999999999998745,5.201426855771556e-16,0.24999999999998743,0.24999999999998745,0.24999999999998743,0.24999999999998745,3.20200400096719e-17,512,24576,mattern_cov2
pnorm_sparse32,0.2500048577785492,0.0,0.2500048577785492,0.2500048577785492,0.2500048577785492,0.2500048577785492,2.6957213350442544e-8,512,24576,mattern_cov2
pnorm_sparse,0.24999999999998754,6.159769905460005e-16,0.24999999999998754,0.24999999999998757,0.24999999999998754,0.24999999999998754,2.6876201843044528e-17,512,245760,mattern_cov2
pnorm_sparse32,0.2500048279762268,0.0,0.2500048279762268,0.2500048279762268,0.2500048279762268,0.2500048279762268,2.6957213350442544e-8,512,245760,mattern_cov2
pnorm_sparse,0.25000000000002937,1.9245806611640269e-16,0.2500000000000293,0.25000000000002953,0.25000000000002937,0.2500000000000294,1.2656303747336986e-16,1024,24576,mattern_cov2
pnorm_sparse32,0.2499949187040329,1.2689207291734424e-8,0.24999487400054932,0.2499949187040329,0.2499949187040329,0.2499949187040329,2.1154526548272655e-8,1024,24576,mattern_cov2
pnorm_sparse,0.25000000000002937,1.1031917757806919e-16,0.2500000000000293,0.25000000000002937,0.25000000000002937,0.25000000000002937,4.477603221527692e-17,1024,245760,mattern_cov2
pnorm_sparse32,0.24999499320983887,2.5547535419131126e-9,0.24999497830867767,0.24999499320983887,0.24999499320983887,0.24999499320983887,1.5152962866693543e-8,1024,245760,mattern_cov2
pnorm_sparse,0.25000007301456206,2.4573244746430533e-10,0.2500000724871528,0.25000007373666044,0.25000007289191567,0.2500000732133069,7.477248425680548e-10,2048,24576,mattern_cov2
pnorm_sparse32,0.2500045597553253,2.2326139275180036e-8,0.2500045597553253,0.2500046193599701,0.2500045597553253,0.2500045895576477,3.944018610368971e-8,2048,24576,mattern_cov2
pnorm_sparse,0.2500000730733314,3.2332686058303204e-11,0.2500000729669121,0.25000007314834277,0.25000007305292,0.25000007308873345,9.193947227926936e-11,2048,245760,mattern_cov2
pnorm_sparse32,0.2500045597553253,3.3520002363016046e-8,0.25000450015068054,0.2500046491622925,0.2500045597553253,0.2500046193599701,7.124102321398596e-8,2048,245760,mattern_cov2
