method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
tlr,0.2500000000000101,NaN,0.2500000000000101,0.2500000000000101,0.2500000000000101,0.2500000000000101,2.8919125489037756e-16,1024,245760,mattern_cov2
pnorm,0.2500000729367309,NaN,0.2500000729367309,0.2500000729367309,0.2500000729367309,0.2500000729367309,2.5705584509470298e-9,2048,24576,mattern_cov2
pnorm32,0.25001177191734314,NaN,0.25001177191734314,0.25001177191734314,0.25001177191734314,0.25001177191734314,2.4608457493968672e-8,2048,24576,mattern_cov2
pnorm_sparse,0.2500000732740353,NaN,0.2500000732740353,0.2500000732740353,0.2500000732740353,0.2500000732740353,1.0100902491859168e-9,2048,24576,mattern_cov2
pnorm_sparse32,0.2500045597553253,NaN,0.2500045597553253,0.2500045597553253,0.2500045597553253,0.2500045597553253,2.9117119382249257e-8,2048,24576,mattern_cov2
tlr,0.2500000732418616,NaN,0.2500000732418616,0.2500000732418616,0.2500000732418616,0.2500000732418616,2.6835640636237977e-9,2048,24576,mattern_cov2
pnorm,0.25000007297742266,NaN,0.25000007297742266,0.25000007297742266,0.25000007297742266,0.25000007297742266,2.752763059962433e-10,2048,245760,mattern_cov2
pnorm32,0.25001177191734314,NaN,0.25001177191734314,0.25001177191734314,0.25001177191734314,0.25001177191734314,3.013908411730881e-8,2048,245760,mattern_cov2
pnorm_sparse,0.25000007307175404,NaN,0.25000007307175404,0.25000007307175404,0.25000007307175404,0.25000007307175404,5.283049568656002e-11,2048,245760,mattern_cov2
pnorm_sparse32,0.2500045895576477,NaN,0.2500045895576477,0.2500045895576477,0.2500045895576477,0.2500045895576477,9.750664275998133e-8,2048,245760,mattern_cov2
tlr,0.2500000727672193,NaN,0.2500000727672193,0.2500000727672193,0.2500000727672193,0.2500000727672193,6.906322667258195e-10,2048,245760,mattern_cov2
pnorm,0.2500678970389248,NaN,0.2500678970389248,0.2500678970389248,0.2500678970389248,0.2500678970389248,4.596136009782152e-6,4096,24576,mattern_cov2
pnorm32,0.25006479024887085,NaN,0.25006479024887085,0.25006479024887085,0.25006479024887085,0.25006479024887085,2.2388601792044938e-5,4096,24576,mattern_cov2
pnorm_sparse,0.25006713510723516,NaN,0.25006713510723516,0.25006713510723516,0.25006713510723516,0.25006713510723516,1.003794742668393e-6,4096,24576,mattern_cov2
pnorm_sparse32,0.2500686049461365,NaN,0.2500686049461365,0.2500686049461365,0.2500686049461365,0.2500686049461365,5.938729827903444e-6,4096,24576,mattern_cov2
tlr,0.2500693530143145,NaN,0.2500693530143145,0.2500693530143145,0.2500693530143145,0.2500693530143145,2.38017153689949e-6,4096,24576,mattern_cov2
pnorm,0.25006739309628456,NaN,0.25006739309628456,0.25006739309628456,0.25006739309628456,0.25006739309628456,6.492509310435855e-7,4096,245760,mattern_cov2
pnorm32,0.2500567138195038,NaN,0.2500567138195038,0.2500567138195038,0.2500567138195038,0.2500567138195038,6.63425525999628e-5,4096,245760,mattern_cov2
pnorm_sparse,0.25006736462651785,NaN,0.25006736462651785,0.25006736462651785,0.25006736462651785,0.25006736462651785,5.051676208146553e-7,4096,245760,mattern_cov2
pnorm_sparse32,0.2500793933868408,NaN,0.2500793933868408,0.2500793933868408,0.2500793933868408,0.2500793933868408,6.970571121200919e-5,4096,245760,mattern_cov2
tlr,0.25006696297286946,NaN,0.25006696297286946,0.25006696297286946,0.25006696297286946,0.25006696297286946,5.089055726503879e-7,4096,245760,mattern_cov2
pnorm,0.6983997380346002,NaN,0.6983997380346002,0.6983997380346002,0.6983997380346002,0.6983997380346002,0.0020019805947870195,256,24576,fixed_spd
pnorm32,0.6988599896430969,NaN,0.6988599896430969,0.6988599896430969,0.6988599896430969,0.6988599896430969,0.001969614764675498,256,24576,fixed_spd
pnorm_sparse,0.6983997380346003,NaN,0.6983997380346003,0.6983997380346003,0.6983997380346003,0.6983997380346003,0.0020019805947869987,256,24576,fixed_spd
pnorm_sparse32,0.6988601088523865,NaN,0.6988601088523865,0.6988601088523865,0.6988601088523865,0.6988601088523865,0.001969626871868968,256,24576,fixed_spd
tlr,0.6987280237827019,NaN,0.6987280237827019,0.6987280237827019,0.6987280237827019,0.6987280237827019,0.0008807382182106369,256,24576,fixed_spd
pnorm,0.6982998210314789,NaN,0.6982998210314789,0.6982998210314789,0.6982998210314789,0.6982998210314789,0.0010179104761944902,256,245760,fixed_spd
pnorm32,0.6981909275054932,NaN,0.6981909275054932,0.6981909275054932,0.6981909275054932,0.6981909275054932,0.0011062780395150185,256,245760,fixed_spd
pnorm_sparse,0.6982998210314789,NaN,0.6982998210314789,0.6982998210314789,0.6982998210314789,0.6982998210314789,0.0010179104761944954,256,245760,fixed_spd
pnorm_sparse32,0.6981909871101379,NaN,0.6981909871101379,0.6981909871101379,0.6981909871101379,0.6981909871101379,0.0011063144775107503,256,245760,fixed_spd
tlr,0.6979681071029,NaN,0.6979681071029,0.6979681071029,0.6979681071029,0.6979681071029,0.0004686064629193047,256,245760,fixed_spd
pnorm,0.7387596588276822,NaN,0.7387596588276822,0.7387596588276822,0.7387596588276822,0.7387596588276822,0.0015817598882004913,512,24576,fixed_spd
pnorm32,0.7382586598396301,NaN,0.7382586598396301,0.7382586598396301,0.7382586598396301,0.7382586598396301,0.0019016334554180503,512,24576,fixed_spd
pnorm_sparse,0.7387596588276821,NaN,0.7387596588276821,0.7387596588276821,0.7387596588276821,0.7387596588276821,0.0015817598882004306,512,24576,fixed_spd
