method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
pnorm32,0.24999478808391967,1.8537249549464625e-10,0.2499947876707059,0.24999478845772197,0.2499947879562872,0.24999478821882803,5.20874518560514e-10,1024,24576,mattern_cov2
pnorm_sparse32,0.24999478808391967,1.8537249549464625e-10,0.2499947876707059,0.24999478845772197,0.2499947879562872,0.24999478821882803,5.20874518560514e-10,1024,24576,mattern_cov2
pnorm32,0.24999478810056341,3.0126954098381705e-11,0.2499947880348676,0.24999478819117937,0.24999478808219164,0.24999478812308856,1.0095945345737826e-10,1024,245760,mattern_cov2
pnorm_sparse32,0.24999478810056341,3.0126954098381705e-11,0.2499947880348676,0.24999478819117937,0.24999478808219164,0.24999478812308856,1.0095945345737826e-10,1024,245760,mattern_cov2
pnorm32,0.25001178226375487,4.751373839527613e-9,0.2500117677967258,0.25001179186438094,0.2500117795152619,0.25001178530419566,1.3575134063215184e-8,2048,24576,mattern_cov2
pnorm_sparse32,0.2500045996675908,2.61680482958495e-9,0.2500045937752778,0.250004606093474,0.25000459797532437,0.2500046013925991,7.521119717141272e-9,2048,24576,mattern_cov2
pnorm32,0.2500117822897664,3.64043556748018e-9,0.25001177241295713,0.250011789402682,0.2500117796564154,0.2500117849812644,1.0260432178114233e-8,2048,245760,mattern_cov2
pnorm_sparse32,0.2500045993794022,5.327035261155935e-10,0.2500045982999533,0.2500046006058256,0.25000459901008676,0.25000459978746226,1.6764042267774066e-9,2048,245760,mattern_cov2
pnorm32,0.2500645658662203,3.6990233175140442e-6,0.2500551333232579,0.25007207515651925,0.2500619748658816,0.2500674663706377,1.2626097847841418e-5,4096,24576,mattern_cov2
pnorm_sparse32,0.2500673473729572,3.9062947851441736e-7,0.25006628571827605,0.2500682596067539,0.25006708129164207,0.25006757245243233,1.1437804626776084e-6,4096,24576,mattern_cov2
pnorm32,0.2500637576849537,3.095388864913903e-6,0.2500572852608457,0.2500711815009102,0.25006198284036146,0.25006627291131744,1.0706284947386162e-5,4096,245760,mattern_cov2
pnorm_sparse32,0.2500673117954648,1.3836622525753688e-7,0.25006695187397177,0.25006759883077995,0.2500672095131753,0.25006738735974066,3.933872315822339e-7,4096,245760,mattern_cov2
pnorm32,0.6981347513183063,0.0006448680344150407,0.696563810487969,0.6996988422461458,0.6976732674278007,0.6985546376306044,0.0019778062787709745,256,24576,fixed_dense
pnorm_sparse32,0.6981348306003488,0.0006448677372485073,0.6965638911326287,0.6996989209820899,0.6976733471982499,0.6985547146678149,0.0019778056551889214,256,24576,fixed_dense
pnorm32,0.6981030343522947,0.00030348233716023814,0.6971211033629318,0.6988832239492506,0.6979075395074299,0.6983265107150151,0.0009074605866925883,256,245760,fixed_dense
pnorm_sparse32,0.698103112361073,0.00030348216072828283,0.6971211799150483,0.6988833020176016,0.6979076178760625,0.6983265894087202,0.000907460222619534,256,245760,fixed_dense
pnorm32,0.7389137343768397,0.0006221345378415577,0.7372056266584336,0.740197846542418,0.73847302844455,0.7393127906084005,0.0020046477512577236,512,24576,fixed_dense
pnorm_sparse32,0.7389139085000925,0.000622134128506677,0.7372057995194177,0.7401980217058979,0.738473201919993,0.7393129643390045,0.0020046470150089685,512,24576,fixed_dense
pnorm32,0.7388626028057709,0.00028324184489771965,0.7381274432634007,0.7395526359094983,0.7386922639789649,0.7390211299839902,0.0008608781471051573,512,245760,fixed_dense
pnorm_sparse32,0.7388627773877747,0.0002832414696928982,0.7381276195179459,0.7395528082520263,0.7386924382033234,0.7390213037977855,0.0008608773925104192,512,245760,fixed_dense
pnorm32,0.7738794735489662,0.0006222214802017122,0.7719800811246796,0.7754192463554402,0.7734287850163399,0.7742637048247255,0.0020740376160234865,1024,24576,fixed_dense
pnorm_sparse32,0.7738797229820282,0.0006222217046903195,0.7719803359277977,0.7754194974928489,0.7734290341364038,0.7742639543216946,0.002074036663856219,1024,24576,fixed_dense
pnorm32,0.7738037892271807,0.00023931609630677226,0.7732584627910581,0.7742922225895371,0.7736626392945857,0.7739634501385378,0.0007784813132569768,1024,245760,fixed_dense
