method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
pnorm_sparse,0.33831679341077836,0.0009155211357882519,0.3363837269474634,0.3401960541778751,0.3377556601008252,0.3391290883244813,0.002813793408013933,2048,24576,mattern_cov1
pnorm_sparse32,0.33852481842041016,0.0012207007895145892,0.33526766300201416,0.3417540490627289,0.337756022810936,0.33930307626724243,0.003561457530595362,2048,24576,mattern_cov1
tlr,0.3386162864305458,0.0009108593109450832,0.3361744238639185,0.34073622842538837,0.33774384191012047,0.33913496135423526,0.0008206527718890587,2048,24576,mattern_cov1
pnorm,0.3385108691653661,0.00018548706327027443,0.338105871373954,0.3388672130719998,0.33836041279364204,0.33861690093136165,0.0005358341269874533,2048,245760,mattern_cov1
pnorm32,0.3390015512704849,0.004505430757556433,0.3252183198928833,0.3486292362213135,0.33624348044395447,0.34165285527706146,0.014352101059630513,2048,245760,mattern_cov1
pnorm_sparse,0.3385350728119348,0.000561685743231332,0.3371882899096927,0.33992989461260387,0.33806712435243735,0.33880761746699,0.0015990927772651035,2048,245760,mattern_cov1
pnorm_sparse32,0.3386126905679703,0.0037464561746746,0.327288419008255,0.3453979790210724,0.3359782248735428,0.34121301770210266,0.011854227422736585,2048,245760,mattern_cov1
tlr,0.3385160648507451,0.0002595885171460561,0.3379541736217922,0.33914939283720225,0.33835352930924484,0.3386891836068274,0.0002541043405794,2048,245760,mattern_cov1
pnorm,0.48643154204468403,0.0011442092214984027,0.48380095182605,0.4897956288071433,0.4855567352417309,0.4871161838029958,0.0034691627355062354,4096,24576,mattern_cov1
pnorm32,0.48631806671619415,0.0033683291939477,0.47927501797676086,0.4961167871952057,0.48431985825300217,0.48902852088212967,0.008971939403563738,4096,24576,mattern_cov1
pnorm_sparse,0.4872113644700887,0.0027271379805403006,0.4806252234956711,0.49372600004025546,0.48559171936453305,0.48890034969368085,0.007616897036152112,4096,24576,mattern_cov1
pnorm_sparse32,0.48621034622192383,0.002576756998539874,0.47972702980041504,0.4936051666736603,0.4847918823361397,0.4883987531065941,0.007838908392004669,4096,24576,mattern_cov1
tlr,0.48619112261659503,0.0018182501396022562,0.4814748945655586,0.4909343742557115,0.48528461476905294,0.4875686846298163,0.0016539699527260586,4096,24576,mattern_cov1
pnorm,0.4864595486138299,0.0003178645761907031,0.48567163515856066,0.48727345003631073,0.4863003336835307,0.48665047694015745,0.0010689220584227212,4096,245760,mattern_cov1
pnorm32,0.4895862489938736,0.011322592545429637,0.45662879943847656,0.514331042766571,0.4820624962449074,0.4957411512732506,0.03163366656750441,4096,245760,mattern_cov1
pnorm_sparse,0.4866134879778926,0.0015233402355272693,0.48250780693475553,0.4902751553207236,0.48566043394177144,0.48763056617343997,0.004582122592049881,4096,245760,mattern_cov1
pnorm_sparse32,0.4875167906284332,0.005125341620999294,0.47750309109687805,0.49774372577667236,0.4823800176382065,0.49082381278276443,0.014970136685296892,4096,245760,mattern_cov1
tlr,0.48645368405973033,0.000601053732857004,0.4847325638257166,0.4877530950467473,0.48595960735501825,0.48685056435589213,0.0005478987062180122,4096,245760,mattern_cov1
pnorm,0.2499999999999926,2.2316322462394835e-16,0.2499999999999926,0.2499999999999926,0.2499999999999926,0.2499999999999926,2.5105862770194153e-17,256,24576,mattern_cov2
pnorm32,0.24999499320983887,0.0,0.24999499320983887,0.24999499320983887,0.24999499320983887,0.24999499320983887,0.0,256,24576,mattern_cov2
pnorm_sparse,0.2499999999999926,0.00297136854406072,0.22721354166665994,0.24999999999999264,0.24932098388671137,0.2499999999999926,0.0004045023605596474,256,24576,mattern_cov2
pnorm_sparse32,0.24880482256412506,0.005552148779063365,0.22646641731262207,0.24999500811100006,0.24469520524144173,0.24999499320983887,0.0015628436860484563,256,24576,mattern_cov2
tlr,0.24999999999999778,2.7895403077993543e-16,0.24999999999999778,0.24999999999999778,0.24999999999999778,0.24999999999999778,0.0,256,24576,mattern_cov2
pnorm,0.24999999999999248,3.3474483693592255e-16,0.24999999999999248,0.24999999999999248,0.24999999999999248,0.24999999999999248,5.0211725540388305e-17,256,245760,mattern_cov2
pnorm32,0.24999505281448364,0.0,0.24999505281448364,0.24999505281448364,0.24999505281448364,0.24999505281448364,1.3478606675221272e-8,256,245760,mattern_cov2
pnorm_sparse,0.2499999999999926,0.0023350706844561114,0.23455098470051391,0.24999999999999267,0.24971771240233642,0.2499999999999926,0.00019880075781727059,256,245760,mattern_cov2
pnorm_sparse32,0.24935518205165863,0.004551527827116317,0.2329116016626358,0.24999503791332245,0.2464819997549057,0.24999500811100006,0.0008333567242959816,256,245760,mattern_cov2
tlr,0.24999999999999983,1.3947701538996771e-16,0.24999999999999983,0.24999999999999983,0.24999999999999983,0.24999999999999983,1.7554167342883472e-17,256,245760,mattern_cov2
pnorm,0.24999999999998745,5.201426855771556e-16,0.24999999999998743,0.24999999999998745,0.24999999999998743,0.24999999999998745,3.20200400096719e-17,512,24576,mattern_cov2
pnorm32,0.2500048577785492,0.0,0.2500048577785492,0.2500048577785492,0.2500048577785492,0.2500048577785492,2.6957213350442544e-8,512,24576,mattern_cov2
pnorm_sparse,0.24999999999998748,5.526036401083174e-16,0.24999999999998743,0.24999999999998754,0.24999999999998745,0.24999999999998748,3.684144121190678e-17,512,24576,mattern_cov2
pnorm_sparse32,0.2500048577785492,0.0033602209679010403,0.2357223778963089,0.2500048875808716,0.2487892061471939,0.2500048577785492,0.0007137901179455231,512,24576,mattern_cov2
tlr,0.2499999999999974,8.331344030180777e-17,0.24999999999999734,0.2499999999999974,0.2499999999999974,0.2499999999999974,8.911126456329524e-18,512,24576,mattern_cov2
pnorm,0.24999999999998754,6.159769905460005e-16,0.24999999999998754,0.24999999999998757,0.24999999999998754,0.24999999999998754,2.6876201843044528e-17,512,245760,mattern_cov2
pnorm32,0.2500048279762268,0.0,0.2500048279762268,0.2500048279762268,0.2500048279762268,0.2500048279762268,2.6957213350442544e-8,512,245760,mattern_cov2
pnorm_sparse,0.24999999999998748,5.509748165263103e-16,0.24999999999998743,0.24999999999998754,0.24999999999998745,0.24999999999998748,4.084056404370234e-17,512,245760,mattern_cov2
pnorm_sparse32,0.24991583079099655,0.0027205193038747372,0.24066223204135895,0.2500048577785492,0.2490999922156334,0.2500048577785492,0.0003743290683235134,512,245760,mattern_cov2
