Section,Calls,Time_sec,Alloc_MiB,Percent,n,n_pts
Internal multiplication,48600,0.00010724775,0.00107574462890625,0.011952794784149463,16,20480
Generating QMC points,20,0.002034306,8.26605224609375,0.1118890609180233,64,20480
Cholesky,10,0.000521598,0.3521575927734375,0.02868846200951042,64,20480
Pre-allocation,10,0.010049244,44.36793518066406,0.5527194404853941,64,20480
Affine scrambling,204120,0.00045157523214285714,0.0009918212890625,0.024837132987024887,64,20480
BLAS mul!,6480,1.2669892857142857e-5,0.002407891409737723,0.0006968580015581162,64,20480
Clculation of CDFs,204120,0.0016687333214285714,0.0005771092006138393,0.09178216269197297,64,20480
Computation of quantiles,204120,0.002617011,0.0010561261858258928,0.14393847494041556,64,20480
Internal multiplication,204120,0.0008263182142857143,0.0008193424769810268,0.04544840796610073,64,20480
Generating QMC points,20,0.007785315,33.44685363769531,0.10612726630173384,256,20480
Cholesky,10,0.017957415,5.142791748046875,0.24479052726777914,256,20480
Pre-allocation,10,0.019165063,179.2854461669922,0.26125285164319056,256,20480
Affine scrambling,826200,0.00213880425,0.0011400495256696428,0.02915558949214388,256,20480
BLAS mul!,16200,0.002984639607142857,0.00156402587890625,0.04068578373539829,256,20480
Clculation of CDFs,826200,0.007724579571428572,0.00054168701171875,0.10529933769486953,256,20480
Computation of quantiles,826200,0.012064134607142857,0.0010801042829241072,0.16445495476447816,256,20480
Internal multiplication,826200,0.0035383410535714285,0.0009370531354631696,0.048233689100406665,256,20480
Generating QMC points,20,0.033116232,134.17015075683594,0.04328807742116837,1024,20480
Cholesky,10,0.494233078,80.55282592773438,0.646039674579111,1024,20480
Pre-allocation,10,0.07123450800000003,635.5488739013672,0.09311460607483481,1024,20480
Affine scrambling,3314520,0.012719023732142856,0.0012724740164620535,0.016625746674279785,1024,20480
BLAS mul!,58320,0.05614588026785715,0.0008384159633091518,0.07339141759589828,1024,20480
Clculation of CDFs,3314520,0.03278470389285714,0.001125608171735491,0.042854718506141636,1024,20480
Computation of quantiles,3314520,0.04958380351785714,0.0015253339494977678,0.06481376037941153,1024,20480
Internal multiplication,3314520,0.015202470535714286,0.0009675707135881696,0.01987199876915438,1024,20480
Generating QMC points,20,0.2280754,537.0604705810547,0.026412075144549657,4096,20480
Cholesky,10,6.271202478,1282.2318267822266,0.7262311985230412,4096,20480
Pre-allocation,10,0.7402785759999997,3079.407989501953,0.08572732253111123,4096,20480
Affine scrambling,13267800,0.08169850455357143,0.001457486833844866,0.009461024913104443,4096,20480
BLAS mul!,233280,0.9215019065535713,0.001094545636858259,0.10671373414992893,4096,20480
Clculation of CDFs,13267800,0.13252073023214286,0.0006871904645647321,0.015346448959870073,4096,20480
Computation of quantiles,13267800,0.19688947251785716,0.0016299656459263393,0.02280061568811186,4096,20480
Internal multiplication,13267800,0.0631029270892857,0.0006346021379743304,0.007307580090282653,4096,20480
