Section,Calls,Time_sec,Alloc_MiB,Percent,n,n_pts
BLAS multiplication,32640000,129.94236427257565,0.0151214599609375,0.20489872365656853,1024,245760
Computation of quantiles,1964160000,160.3598513952331,0.0157318115234375,0.25286232908396333,1024,245760
Internal multiplication,1964160000,64.8640343741884,0.0070953369140625,0.10228040661633525,1024,245760
Generating QMC points,2000,44.211320335,640250.3356933594,0.008365029783145753,4096,245760
Cholesky,1000,157.145344172,128219.28405761719,0.029732780525914815,4096,245760
Pre-allocation,1000,31.105454062000007,848375.5197296143,0.0058853263751301186,4096,245760
Affine scrambling,7862400000,288.9732035193942,0.0244140625,0.05467535092040972,4096,245760
Clculation of CDFs,7862400000,647.7936778164644,0.0480194091796875,0.12256619723655779,4096,245760
BLAS multiplication,130560000,3257.1022359132608,0.0067291259765625,0.6162620117136804,4096,245760
Computation of quantiles,7862400000,559.8793811559523,0.047149658203125,0.10593231920809933,4096,245760
Internal multiplication,7862400000,299.0449626389276,0.019683837890625,0.05658098423706209,4096,245760
