method,median,min,max,Q1,Q3,n,n_pts,sim
pnorm,0.566418492,0.566418492,0.566418492,0.566418492,0.566418492,2048,24576,sim2
mvnormcdf,26.994094347,26.994094347,26.994094347,26.994094347,26.994094347,2048,24576,sim2
tlr,25.5940000000046,25.5940000000046,25.5940000000046,25.5940000000046,25.5940000000046,2048,24576,sim2
pnorm,1.801404947,1.801404947,1.801404947,1.801404947,1.801404947,2048,245760,sim2
mvnormcdf,93.108521505,93.108521505,93.108521505,93.108521505,93.108521505,2048,245760,sim2
tlr,426.16399999999703,426.16399999999703,426.16399999999703,426.16399999999703,426.16399999999703,2048,245760,sim2
pnorm,1.731503689,1.731503689,1.731503689,1.731503689,1.731503689,4096,24576,sim2
mvnormcdf,305.95369381,305.95369381,305.95369381,305.95369381,305.95369381,4096,24576,sim2
tlr,112.05000000000291,112.05000000000291,112.05000000000291,112.05000000000291,112.05000000000291,4096,24576,sim2
pnorm,4.806625422,4.806625422,4.806625422,4.806625422,4.806625422,4096,245760,sim2
mvnormcdf,509.098898783,509.098898783,509.098898783,509.098898783,509.098898783,4096,245760,sim2
tlr,1672.5859999999957,1672.5859999999957,1672.5859999999957,1672.5859999999957,1672.5859999999957,4096,245760,sim2
