method,median,min,max,Q1,Q3,n,n_pts,matrix
pnorm,0.011449253,0.009431846,0.163569324,0.00970656025,0.030199105500000004,256,24576,mattern_cov2
pnorm32,0.0078373165,0.007355086,0.066775348,0.0075211475,0.02838781725,256,24576,mattern_cov2
pnorm_sparse,0.1868002235,0.011977989,0.251616774,0.18466184400000002,0.18991162275,256,24576,mattern_cov2
pnorm_sparse32,0.1837035095,0.160940105,0.243204625,0.18209151974999999,0.18639805925,256,24576,mattern_cov2
tlr,1.1339999999981956,1.077000000004773,1.639999999999418,1.1150000000016007,1.1990000000005239,256,24576,mattern_cov2
pnorm,0.0717086365,0.069230197,0.09329364,0.0707153375,0.07295907099999999,256,245760,mattern_cov2
pnorm32,0.09438316599999999,0.04909647,0.213230092,0.0604829265,0.10187452025,256,245760,mattern_cov2
pnorm_sparse,0.1928729395,0.182729013,0.239478043,0.191428675,0.23225954475,256,245760,mattern_cov2
pnorm_sparse32,0.185683143,0.174663534,0.230354819,0.1848206825,0.18921460550000002,256,245760,mattern_cov2
tlr,13.730000000003201,13.506000000008498,14.126000000003842,13.639999999992142,13.875000000007276,256,245760,mattern_cov2
pnorm,0.0478302985,0.033962089,0.126843415,0.0432688855,0.08082305349999999,512,24576,mattern_cov2
pnorm32,0.0332001515,0.029572628,0.091979615,0.0326387815,0.052583528250000004,512,24576,mattern_cov2
pnorm_sparse,0.185838478,0.183437677,0.247443957,0.18473306775,0.19210138875,512,24576,mattern_cov2
pnorm_sparse32,0.1837302915,0.180645138,0.240654533,0.1829610885,0.18571660699999998,512,24576,mattern_cov2
tlr,2.6460000000006403,2.2949999999982538,3.767999999996391,2.5142499999965366,2.907999999999447,512,24576,mattern_cov2
pnorm,0.1402551265,0.131153308,0.232915212,0.13800024375,0.1514198125,512,245760,mattern_cov2
pnorm32,0.0988805035,0.097379109,0.131427297,0.09827090025,0.100204405,512,245760,mattern_cov2
pnorm_sparse,0.2039443655,0.159734182,0.354338495,0.1753540955,0.20960044749999998,512,245760,mattern_cov2
pnorm_sparse32,0.19371084849999998,0.175243639,0.246799734,0.188501887,0.222755675,512,245760,mattern_cov2
tlr,29.416999999994005,28.67399999999907,30.970000000001164,29.12174999999479,29.762250000007043,512,245760,mattern_cov2
pnorm,0.1513407945,0.092067351,0.208507809,0.11464748500000001,0.16127991775,1024,24576,mattern_cov2
pnorm32,0.090790014,0.061230398,0.189229185,0.07675033825,0.1179219505,1024,24576,mattern_cov2
pnorm_sparse,0.2072647355,0.182415854,0.266341624,0.19286752675000002,0.23158775225,1024,24576,mattern_cov2
pnorm_sparse32,0.193783697,0.183764014,0.3217341,0.18945174374999998,0.22861860674999998,1024,24576,mattern_cov2
tlr,6.902000000001863,5.672000000005937,10.932000000000698,6.436250000006112,7.454999999998108,1024,24576,mattern_cov2
pnorm,0.5017120465,0.314805818,0.585340468,0.43806468925,0.5174910635,1024,245760,mattern_cov2
pnorm32,0.26447782200000003,0.208693088,0.438438139,0.2455539965,0.32871943575,1024,245760,mattern_cov2
pnorm_sparse,0.3068392725,0.283427372,0.450066741,0.30234131249999996,0.33221743225,1024,245760,mattern_cov2
pnorm_sparse32,0.229990329,0.178761033,0.293304274,0.20624854050000002,0.24443632850000002,1024,245760,mattern_cov2
tlr,68.98950000000332,66.67200000000594,74.00800000000163,68.08450000000812,69.91124999999738,1024,245760,mattern_cov2
pnorm,0.39660155399999997,0.332482325,0.505714346,0.37915650175,0.4337053145,2048,24576,mattern_cov2
pnorm32,0.25111314100000004,0.194616347,0.400577473,0.22407646500000003,0.27236874625,2048,24576,mattern_cov2
pnorm_sparse,0.289098065,0.222335336,0.363112284,0.26361482525,0.30820617075,2048,24576,mattern_cov2
pnorm_sparse32,0.222806923,0.168390382,0.373310487,0.18615043625,0.26512581175000005,2048,24576,mattern_cov2
tlr,17.889999999999418,14.235999999989872,22.20800000001327,16.809750000003987,19.25500000000102,2048,24576,mattern_cov2
pnorm,0.9904131224999999,0.933258569,1.447333608,0.97041192875,1.13352338375,2048,245760,mattern_cov2
pnorm32,0.668103601,0.55136242,1.010764348,0.6563914785,0.686907747,2048,245760,mattern_cov2
pnorm_sparse,0.5616152675,0.486201839,0.744785144,0.545060087,0.6088463215000001,2048,245760,mattern_cov2
pnorm_sparse32,0.378346136,0.360066949,0.511995454,0.373140382,0.38872744275000004,2048,245760,mattern_cov2
tlr,154.02249999999913,148.39400000000023,165.44000000000233,151.95250000000306,155.8054999999913,2048,245760,mattern_cov2
pnorm,1.3919355325,1.074848597,1.513520666,1.35480490375,1.4324554225,4096,24576,mattern_cov2
pnorm32,0.804385592,0.68825558,0.925284593,0.75592425875,0.838723687,4096,24576,mattern_cov2
pnorm_sparse,0.5308921609999999,0.503936816,0.775233278,0.5199358865,0.543802961,4096,24576,mattern_cov2
pnorm_sparse32,0.342566604,0.263534382,0.453156406,0.32654222,0.35624322150000004,4096,24576,mattern_cov2
tlr,52.52699999999459,47.28399999999965,55.74799999999232,51.40175000000454,53.24674999999843,4096,24576,mattern_cov2
pnorm,3.173392221,2.918666339,3.85013153,3.04236098275,3.29653052825,4096,245760,mattern_cov2
