method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,sim
mvnmvt,0.26198679743751907,3.233707247123183e-5,0.26191835544138764,0.2620820929328956,0.2619609942812315,0.262011552764354,8.847812124047318e-5,128,245760,sim1
tlr,0.2619815489098585,1.732536969930091e-5,0.2619357755350412,0.2620288316151385,0.26196729130755814,0.26199156574876026,3.220918407886727e-5,128,245760,sim1
pnorm,0.25849004733539066,8.126821551234489e-5,0.25823334157199035,0.2587159970330151,0.25844775209306176,0.25853334014443974,0.00023718977970143954,256,24576,sim1
mvnormcdf,0.25850764709475693,8.723751733133595e-5,0.2583228177891846,0.25871665858759313,0.25843886017823303,0.25857170514685457,0.00029064364146651444,256,24576,sim1
mvnmvt,0.25848495063447297,0.00013047726507230486,0.2581657472997095,0.25876737543151784,0.25840209879980036,0.2585975073111403,0.0003882415568830247,256,24576,sim1
tlr,0.25850981774086146,0.00011809993644160224,0.258170124401497,0.25881087094315297,0.2584114150919405,0.2585891759082145,0.00023481018845296846,256,24576,sim1
pnorm,0.2584998794403081,1.6659883784114774e-5,0.2584666445337043,0.2585381641683693,0.2584874208585363,0.25851066648063437,5.4366992791266766e-5,256,245760,sim1
mvnormcdf,0.25849802588949056,1.3493712850336322e-5,0.25846905104369355,0.2585381608140901,0.258490639202621,0.2585098672092706,4.3767140811422136e-5,256,245760,sim1
mvnmvt,0.25850418896575084,4.84353108925614e-5,0.25834695678975295,0.25863837665602574,0.2584798414827558,0.2585393223729535,0.00013016946395200135,256,245760,sim1
tlr,0.25850330034000013,2.7326417576193837e-5,0.2584258989052209,0.2585604491600647,0.25848381790449415,0.25852437953698587,5.345508726443437e-5,256,245760,sim1
pnorm,0.25557802464225526,9.097865829240254e-5,0.2553232290046691,0.2557868096599561,0.25552384277496454,0.2556513562335115,0.0002474847657573051,512,24576,sim1
mvnormcdf,0.25557383815569706,6.56544139731175e-5,0.2553961499176262,0.25574916325973573,0.25553684395139303,0.2556120316520164,0.00021501608531684024,512,24576,sim1
mvnmvt,0.25557375839578345,0.00010912777565768771,0.25532709066609616,0.25589166986382555,0.25551382275922896,0.2556497734569289,0.00036998041662143815,512,24576,sim1
tlr,0.25557785527233146,0.0001298653568179664,0.25525739570274153,0.2558654806456824,0.25548030653885323,0.255651379783702,0.00022801269337826966,512,24576,sim1
pnorm,0.25557791517723094,1.7930879801484002e-5,0.2555356200005314,0.25561949734889283,0.2555677839150433,0.25558750638404687,5.0974738221323925e-5,512,245760,sim1
mvnormcdf,0.255575077758073,1.5638254746549696e-5,0.25554873158734703,0.2556200413114633,0.25556500887592554,0.255585815649361,4.102698823282771e-5,512,245760,sim1
mvnmvt,0.25557144924390685,4.4334992346933494e-5,0.2554181298017755,0.25568468404441524,0.2555519589173285,0.2555944256929232,0.0001225335449157886,512,245760,sim1
tlr,0.25557712313882225,2.9324372098251827e-5,0.2555034693036566,0.25565622778327624,0.25555115711524845,0.2555938819212662,5.162827683519501e-5,512,245760,sim1
pnorm,0.2535919405842473,6.886646782983821e-5,0.2533921388173242,0.25373210074235614,0.2535346820725552,0.2536262112781735,0.00020014175149308137,1024,24576,sim2
mvnormcdf,0.25360468211967857,6.533675978818533e-5,0.2534188535597858,0.25375046569919046,0.25355895379589755,0.25363422032331284,0.0002008376021158822,1024,24576,sim2
tlr,0.25358565089484025,9.230548871517967e-5,0.25336217989732734,0.25382002489821687,0.2535234418766663,0.25364893052656307,0.00018341140621417495,1024,24576,sim2
pnorm,0.25359387976429487,1.839308459367343e-5,0.25355613145660716,0.25364115126740444,0.25358256771521526,0.2536054533099473,5.3937785183735476e-5,1024,245760,sim2
mvnormcdf,0.2535913015116786,1.7259163615325104e-5,0.2535461381289528,0.25362641199945146,0.2535807246344251,0.2536037213016511,5.463619381657597e-5,1024,245760,sim2
tlr,0.25358517423198257,2.7008610168961943e-5,0.25352866878562363,0.25365127815070065,0.2535665431202633,0.2536048617699205,5.0829186172323005e-5,1024,245760,sim2
