name,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10
BRKU,-0.6391470525964724,-1.0968035620935135,-1.6161559218424957,-1.8763585618946,-2.166106752892334,-2.4287370866922844,-2.4287370866922844,-2.4287370866922844,-2.4287370866922844,-2.6704148847808584
V,-0.8377969142189675,-1.384452839313711,-1.777330661918645,-2.0897545166871474,-2.3682366199195726,-2.5515705642704307,-2.734074686012712,-2.954891264583433,-3.0572018668403476,-3.123471769982577
XOM,-0.8371504085376626,-1.4093223652214155,-1.8613078250541872,-2.1910977943351524,-2.5327638923707947,-2.741435159375291,-2.8346314809778623,-2.9323172371449133,-3.0699424590340376,-3.169068054888483
JNJ,-1.1050121950457412,-1.7734242477565312,-2.2308358870440865,-2.5832502800030572,-2.8346314809778623,-2.994082558905509,-3.115691259587702,-3.3146523927384957,-3.3146523927384957,-3.426366522732482
7004.KL,-0.6688094245454971,-1.008164694236847,-1.2571157822097696,-1.4530087199778445,-1.621215054024273,-1.7667719347847801,-1.9108344572578544,-2.0257639528699163,-2.096739711780566,-2.184351458700386
WMT,-0.9545460520637575,-1.601839943136806,-2.019534286602006,-2.322861892455491,-2.562266673910372,-2.7099735383976475,-2.8566037537823714,-2.994082558905509,-3.169068054888483,-3.3146523927384957
NFLX,-0.5038387649363566,-0.927868384670133,-1.2768660157923162,-1.5483902707976782,-1.7883164823912354,-1.979111978679232,-2.136306550882268,-2.253330092614576,-2.383072197292639,-2.489495350347397
MA,-0.8083363207646195,-1.3160449329109154,-1.644067762802013,-1.9439131889814538,-2.2269149235255288,-2.4322811637363784,-2.5998355260073174,-2.6474431256668356,-2.8157613430521353,-2.9436066725620464
ASML,-0.5508444251801488,-0.9606091260161198,-1.301767517624903,-1.5668776442287864,-1.7846180536321217,-1.9993294704355098,-2.1953450008245587,-2.3646817036900085,-2.5327638923707947,-2.6170298751918515
COST,-0.8911664434910471,-1.4389105505547641,-1.8463478170595429,-2.142976289743136,-2.3774277410396354,-2.5832502800030572,-2.8139479831547503,-2.994082558905509,-3.115691259587702,-3.169068054888483
