Ticker,Holding name,% of market value,Sector,Region,Market value,Shares,yticker
BBNI,Bank Negara Indonesia Persero Tbk PT,0.0038%,Financials,ID,"US$1,957,246.83","7,652,100",BBNI.JK
GENS,Genting Singapore Ltd,0.0038%,Consumer Discretionary,SG,"US$1,954,646.18","3,331,000",SIGHT.PA
5830,Iyogin Holdings Inc,0.0038%,Financials,JP,"US$1,952,597.89","118,700",5830.T
LATOB,Investment AB Latour,0.0038%,Industrials,SE,"US$1,950,877.89","81,525",LATOBS.XC
000063,ZTE Corp,0.0037%,Telecommunications,CN,"US$1,947,615.55","327,099",000063.SZ
4536,Santen Pharmaceutical Co Ltd,0.0037%,Health Care,JP,"US$1,943,384.81","189,600",4536.T
3036,WT Microelectronics Co Ltd,0.0037%,Technology,TW,"US$1,945,547.24","427,000",3036.T
SEBC,Skandinaviska Enskilda Banken AB,0.0037%,Financials,SE,"US$1,941,516.77","96,991",SEBC
4904,Far EasTone Telecommunications Co Ltd,0.0037%,Telecommunications,TW,"US$1,939,687.75","691,000",4904.TW
011200,HMM Co Ltd,0.0037%,Industrials,KR,"US$1,935,422.12","148,711",011200.KS
FRA,Fraport AG Frankfurt Airport Services Worldwide,0.0037%,Industrials,DE,"US$1,937,006.83","23,069",FRA
LTF,L&T Finance Ltd,0.0037%,Financials,IN,"US$1,936,906.98","554,671",LTF.BO
600000,Shanghai Pudong Development Bank Co Ltd,0.0037%,Financials,CN,"US$1,935,388.38","1,191,739",600000.SS
BHEL,Bharat Heavy Electricals Ltd,0.0037%,Industrials,IN,"US$1,929,906.28","593,520",BHEL.BO
LODHA,Lodha Developers Ltd,0.0037%,Real Estate,IN,"US$1,925,910.62","150,033",LODHA.NS
6417,Sankyo Co Ltd,0.0037%,Consumer Discretionary,JP,"US$1,920,229.41","110,900",SOK.F
3197,Skylark Holdings Co Ltd,0.0037%,Consumer Discretionary,JP,"US$1,916,792.05","80,842",3197.T
7747,Asahi Intecc Co Ltd,0.0037%,Health Care,JP,"US$1,911,967.50","101,952",7747.T
ZAIN,Mobile Telecommunications Co KSCP,0.0037%,Telecommunications,KW,"US$1,912,444.63","1,128,894",ZAIN.KW
1997,Wharf Real Estate Investment Co Ltd,0.0037%,Real Estate,HK,"US$1,911,652.28","606,000",1997.HK
SONACOMS,Sona Blw Precision Forgings Ltd,0.0037%,Consumer Discretionary,IN,"US$1,909,432.95","333,745",SONACOMS.NS
4506,Sumitomo Pharma Co Ltd,0.0037%,Health Care,JP,"US$1,908,638.26","109,100",4506.T
603259,WuXi AppTec Co Ltd,0.0037%,Health Care,CN,"US$1,904,219.08","147,613",603259.SS
021240,Coway Co Ltd,0.0037%,Consumer Discretionary,KR,"US$1,899,350.63","32,480",021240.KS
2618,Eva Airways Corp,0.0036%,Consumer Discretionary,TW,"US$1,892,140.93","1,741,491",2618.HK
1038,CK Infrastructure Holdings Ltd,0.0036%,Utilities,HK,"US$1,886,527.69","272,500",1038.HK
2359,WuXi AppTec Co Ltd,0.0036%,Health Care,HK,"US$1,890,220.92","145,420",235980.KQ
UNBK,Union Bank of India Ltd,0.0036%,Financials,IN,"US$1,885,748.34","1,100,512",UNBK
360ONE,360 ONE WAM Ltd,0.0036%,Financials,IN,"US$1,885,712.39","142,556",GOLD360.NS
OUT,OUTsurance Group Ltd,0.0036%,Financials,ZA,"US$1,876,242.01","443,246",OUT
EDPR,EDP Renovaveis SA,0.0036%,Utilities,PT,"US$1,873,634.72","140,753",EDPRU.XD
TIINDIA,Tube Investments of India Ltd,0.0036%,Basic Materials,IN,"US$1,872,526.32","60,154",TIINDIA.NS
BEN,Bendigo & Adelaide Bank Ltd,0.0036%,Financials,AU,"US$1,867,684.65","278,120",BEN
3283,Nippon Prologis REIT Inc,0.0036%,Real Estate,JP,"US$1,866,321.69","3,095",3283.T
5871,Chailease Holding Co Ltd,0.0036%,Financials,TW,"US$1,869,303.14","569,593",5871.T
1102,Asia Cement Corp,0.0036%,Industrials,TW,"US$1,867,970.58","1,510,986",1102P.PA
FUNO11,Fibra Uno Administracion SA de CV,0.0036%,Real Estate,MX,"US$1,865,659.07","1,284,200",FUNO11.MX
086280,Hyundai Glovis Co Ltd,0.0036%,Industrials,KR,"US$1,861,929.35","16,656",086280.KS
3481,Innolux Corp,0.0036%,Technology,TW,"US$1,863,282.37","4,315,802",348150.KQ
IP,Interpump Group SpA,0.0036%,Industrials,IT,"US$1,855,625.41","36,505",IP
MANKIND,Mankind Pharma Ltd,0.0036%,Health Care,IN,"US$1,855,635.84","73,737",MANKIND.BO
6965,Hamamatsu Photonics KK,0.0036%,Technology,JP,"US$1,845,386.09","181,400",6965.TW
600999,China Merchants Securities Co Ltd,0.0036%,Financials,CN,"US$1,847,242.38","801,600",600999.SS
