Ticker,Holding name,% of market value,Sector,Region,Market value,Shares,yticker
ENGI,Engie SA,0.0225%,Utilities,FR,"US$11,691,075.51","459,988",ENGI.PA
KNEBV,Kone Oyj,0.0225%,Industrials,FI,"US$11,680,954.54","171,934",KNEBV.HE
VRSN,VeriSign Inc,0.0224%,Technology,US,"US$11,644,961.88","46,212",VRSN
CHD,Church & Dwight Co Inc,0.0224%,Consumer Staples,US,"US$11,633,366.96","136,606",CHD
BRO,Brown & Brown Inc,0.0223%,Financials,US,"US$11,625,432.63","144,541",BRO
1925,Daiwa House Industry Co Ltd,0.0223%,Consumer Discretionary,JP,"US$11,602,994.55","339,900",1925.HK
ALL,Aristocrat Leisure Ltd,0.0223%,Consumer Discretionary,AU,"US$11,582,105.57","302,726",ALL
4661,Oriental Land Co Ltd/Japan,0.0222%,Consumer Discretionary,JP,"US$11,540,482.54","598,900",466100.KQ
SUNP,Sun Pharmaceutical Industries Ltd,0.0221%,Health Care,IN,"US$11,518,639.02","562,521",SPWR
8309,Sumitomo Mitsui Trust Group Inc,0.0221%,Financials,JP,"US$11,516,164.69","397,500",8309.HK
4452,Kao Corp,0.0221%,Consumer Staples,JP,"US$11,511,265.62","284,500",4452.T
7182,Japan Post Bank Co Ltd,0.0221%,Financials,JP,"US$11,502,054.68","956,003",7182.T
BBDC4,Banco Bradesco SA,0.0221%,Financials,BR,"US$11,495,610.40","3,125,870",BBDC4.SA
1,CK Hutchison Holdings Ltd,0.0221%,Industrials,HK,"US$11,487,045.67","1,627,544",SB=F
BAMI,Banco BPM SpA,0.0221%,Financials,IT,"US$11,482,723.76","796,956",BAMI.MI
COL,Coles Group Ltd,0.0221%,Consumer Staples,AU,"US$11,474,725.18","783,929",KO
LYV,Live Nation Entertainment Inc,0.022%,Consumer Discretionary,US,"US$11,418,009.90","86,862",LYV
FAB,First Abu Dhabi Bank PJSC,0.0219%,Financials,AE,"US$11,412,882.05","2,646,326",FAB
MTX,MTU Aero Engines AG,0.0219%,Industrials,DE,"US$11,410,922.81","27,909",MTX
SBAC,SBA Communications Corp,0.0219%,Real Estate,US,"US$11,380,142.33","58,579",SBAC
EL,Estee Lauder Cos Inc/The,0.0218%,Consumer Discretionary,US,"US$11,351,238.76","120,668",EL
AENA,Aena SME SA,0.0218%,Industrials,ES,"US$11,341,090.73","416,546",AENA.MC
EQT,EQT AB,0.0217%,Financials,SE,"US$11,308,876.40","326,185",EQT
HLMA,Halma PLC,0.0217%,Industrials,GB,"US$11,292,026.04","239,390",HLMAL.XC
BXB,Brambles Ltd,0.0217%,Industrials,AU,"US$11,276,248.73","714,657",BXBLY
ILMN,Illumina Inc,0.0217%,Health Care,US,"US$11,265,002.10","85,698",ILMN
CTRA,Coterra Energy Inc,0.0217%,Energy,US,"US$11,262,896.04","419,631",CTRA
ML,Cie Generale des Etablissements Michelin SCA,0.0216%,Consumer Discretionary,FR,"US$11,245,129.71","344,209",MLM
PFG,Principal Financial Group Inc,0.0216%,Financials,US,"US$11,246,029.34","132,587",PFG
IP,International Paper Co,0.0216%,Basic Materials,US,"US$11,229,059.52","284,424",IP
MAADEN,Saudi Arabian Mining Co,0.0216%,Basic Materials,SA,"US$11,230,133.42","690,644",1211.SR
068270,Celltrion Inc,0.0216%,Health Care,KR,"US$11,217,779.35","88,887",068270.KS
2388,BOC Hong Kong Holdings Ltd,0.0215%,Financials,HK,"US$11,203,453.81","2,328,500",2388.HK
IHG,InterContinental Hotels Group PLC,0.0215%,Consumer Discretionary,GB,"US$11,200,570.44","84,406",IHG
6971,Kyocera Corp,0.0215%,Technology,JP,"US$11,159,508.49","814,900",6971.KL
BMPS,Banca Monte dei Paschi di Siena SpA,0.0214%,Financials,IT,"US$11,116,672.25","1,174,880",BMPS.MI
PTC,PTC Inc,0.0213%,Technology,US,"US$11,093,140.62","63,234",PTC
GMAB,Genmab A/S,0.0213%,Health Care,DK,"US$11,083,250.56","34,981",GMAB
DRI,Darden Restaurants Inc,0.0213%,Consumer Discretionary,US,"US$11,080,086.00","61,700",DRI
PKO,Powszechna Kasa Oszczednosci Bank Polski SA,0.0213%,Financials,PL,"US$11,079,657.82","521,839",PKOH
NVR,NVR Inc,0.0213%,Consumer Discretionary,US,"US$11,073,252.75","1,475",NVR
DNB,DNB Bank ASA,0.0212%,Financials,NO,"US$11,048,573.09","413,041",DNBBY
AIBG,AIB Group PLC,0.0212%,Financials,IE,"US$11,049,553.13","1,075,815",AIBG.L
BAM,Brookfield Asset Management Ltd,0.0211%,Financials,CA,"US$10,987,163.05","208,135",BAM
SSNC,SS&C Technologies Holdings Inc,0.0211%,Technology,US,"US$10,952,881.12","127,448",SSNC
TRMB,Trimble Inc,0.0209%,Industrials,US,"US$10,876,083.60","133,580",TRMB
5020,ENEOS Holdings Inc,0.0208%,Energy,JP,"US$10,804,028.36","1,639,250",5020.KL
CNC,Centene Corp,0.0207%,Health Care,US,"US$10,767,121.96","273,694",CNC
CPI,Capitec Bank Holdings Ltd,0.0207%,Financials,ZA,"US$10,751,342.89","47,419",CVU
TYL,Tyler Technologies Inc,0.0206%,Technology,US,"US$10,729,408.14","22,847",TYL
EXPD,Expeditors International of Washington Inc,0.0206%,Industrials,US,"US$10,723,993.80","73,002",EXPD
PAAS,Pan American Silver Corp,0.0206%,Basic Materials,CA,"US$10,716,298.34","235,855",PAAS
6160,BeOne Medicines Ltd,0.0206%,Health Care,HK,"US$10,711,385.12","407,200",6160.HK
6723,Renesas Electronics Corp,0.0206%,Technology,JP,"US$10,706,522.70","902,378",6723.T
5401,Nippon Steel Corp,0.0206%,Basic Materials,JP,"US$10,699,235.24","2,642,215",5401.T
LULU,Lululemon Athletica Inc,0.0205%,Consumer Discretionary,US,"US$10,675,625.34","57,963",LULU
HCLT,HCL Technologies Ltd,0.0205%,Technology,IN,"US$10,666,180.73","587,405",HCLTECH.NS
CDW,CDW Corp/DE,0.0205%,Technology,US,"US$10,658,723.32","73,906",CDW
CPAY,Corpay Inc,0.0205%,Industrials,US,"US$10,644,954.60","35,987",CPAY
DELTA/F,Delta Electronics Thailand PCL,0.0204%,Technology,TH,"US$10,584,505.79","1,695,364",4598.T
AMCR,Amcor PLC,0.0202%,Industrials,US,"US$10,494,152.16","1,231,708",AMCR
000270,Kia Corp,0.0202%,Consumer Discretionary,KR,"US$10,490,853.57","135,218",000270.KS
BIRG,Bank of Ireland Group PLC,0.0202%,Financials,IE,"US$10,483,721.34","566,003",BIRG.IR
ZBH,Zimmer Biomet Holdings Inc,0.0201%,Health Care,US,"US$10,471,990.16","107,383",ZBH
STZ,Constellation Brands Inc,0.0201%,Consumer Staples,US,"US$10,429,796.88","76,476",STZ
FTV,Fortive Corp,0.02%,Industrials,US,"US$10,411,058.56","194,672",FTV
QBE,QBE Insurance Group Ltd,0.02%,Financials,AU,"US$10,400,796.36","823,881",QBEN.ST
AMXB,America Movil SAB de CV,0.0199%,Telecommunications,MX,"US$10,373,196.61","9,046,800",AMXB.MX
TWLO,Twilio Inc,0.0199%,Technology,US,"US$10,330,197.57","79,653",TWLO
INF,Informa PLC,0.0198%,Consumer Discretionary,GB,"US$10,313,096.60","810,947",VGT
FCNCA,First Citizens BancShares Inc/NC,0.0198%,Financials,US,"US$10,294,592.98","5,482",FCNCA
MT,ArcelorMittal SA,0.0198%,Basic Materials,NL,"US$10,286,306.15","238,389",MT
CCEP,Coca-Cola Europacific Partners PLC,0.0197%,Consumer Staples,GB,"US$10,249,891.04","111,306",CCEP
HNR1,Hannover Rueck SE,0.0197%,Financials,DE,"US$10,241,005.45","34,018",HNR1.DE
HUBS,HubSpot Inc,0.0197%,Technology,US,"US$10,230,596.64","27,852",HUBS
012450,Hanwha Aerospace Co Ltd,0.0197%,Industrials,KR,"US$10,230,488.56","17,659",012450.KS
1088,China Shenhua Energy Co Ltd,0.0197%,Energy,HK,"US$10,231,698.26","2,000,500",108860.KQ
9987,Yum China Holdings Inc,0.0197%,Consumer Discretionary,HK,"US$10,225,281.52","212,067",9987.HK
GPN,Global Payments Inc,0.0195%,Industrials,US,"US$10,161,082.72","134,122",GPN
4307,Nomura Research Institute Ltd,0.0195%,Technology,JP,"US$10,153,330.38","254,159",4307.T
TRI,Thomson Reuters Corp,0.0195%,Technology,CA,"US$10,129,275.71","74,496",TRI
SAABB,Saab AB,0.0194%,Industrials,SE,"US$10,070,310.30","199,707",SAABBS.XC
MAY,Malayan Banking Bhd,0.0193%,Financials,MY,"US$10,049,327.53","4,190,600",1155.KL
SW,Smurfit WestRock PLC,0.0193%,Industrials,US,"US$10,044,272.39","281,431",SW
LNT,Alliant Energy Corp,0.0193%,Utilities,US,"US$10,032,926.87","144,421",LNT
NTPC,NTPC Ltd,0.0193%,Utilities,IN,"US$10,020,568.84","2,745,642",NTPCGREEN.BO
1605,Inpex Corp,0.0193%,Energy,JP,"US$10,015,413.01","469,200",160550.KQ
VAL,Valterra Platinum Ltd,0.0192%,Basic Materials,ZA,"US$10,006,061.32","143,965",VAL
GDDY,GoDaddy Inc,0.0192%,Technology,US,"US$9,992,003.28","78,148",GDDY
6988,Nitto Denko Corp,0.0192%,Basic Materials,JP,"US$9,976,002.56","403,200",6988.HK
FEMSAUBD,Fomento Economico Mexicano SAB de CV,0.019%,Consumer Staples,MX,"US$9,895,673.99","1,027,037",FEMSAUBD.MX
RBA,RB Global Inc,0.019%,Consumer Discretionary,CA,"US$9,888,853.48","100,698",RBA
DSY,Dassault Systemes SE,0.019%,Technology,FR,"US$9,889,527.19","353,439",DSY
TEF,Telefonica SA,0.019%,Telecommunications,ES,"US$9,891,399.09","2,281,935",TEF
RI,Pernod Ricard SA,0.019%,Consumer Staples,FR,"US$9,890,035.96","109,846",SCIIR
WALMEX*,Wal-Mart de Mexico SAB de CV,0.019%,Consumer Discretionary,MX,"US$9,883,689.52","2,921,500",WALMEX.MX
600519,Kweichow Moutai Co Ltd,0.019%,Consumer Staples,CN,"US$9,876,971.47","48,135",600519.SS
PNR,Pentair PLC,0.019%,Industrials,US,"US$9,870,354.36","93,789",PNR
GIB/A,CGI Inc,0.019%,Technology,CA,"US$9,864,384.78","110,480",0P0001PIQ7
LOGN,Logitech International SA,0.0189%,Technology,CH,"US$9,816,772.28","87,291",LOGN
9992,Pop Mart International Group Ltd,0.0189%,Consumer Discretionary,HK,"US$9,811,323.47","339,800",9992.HK
2328,PICC Property & Casualty Co Ltd,0.0188%,Financials,HK,"US$9,807,515.12","4,323,748",KIST11-PRO.OL
CHTR,Charter Communications Inc,0.0188%,Telecommunications,US,"US$9,802,477.96","48,983",CHTR
1801,Innovent Biologics Inc,0.0188%,Health Care,HK,"US$9,794,613.93","810,382",1801.HK
INCY,Incyte Corp,0.0187%,Health Care,US,"US$9,747,893.82","93,317",INCY
2412,Chunghwa Telecom Co Ltd,0.0187%,Telecommunications,TW,"US$9,717,333.12","2,337,000",2412.TW
300750,Contemporary Amperex Technology Co Ltd,0.0186%,Industrials,CN,"US$9,696,194.20","183,660",300750.SZ
SGSN,SGS SA,0.0186%,Industrials,CH,"US$9,688,076.82","84,408",SGSNZ.XC
L,Loews Corp,0.0186%,Financials,US,"US$9,670,545.50","89,650",L
ABN,ABN AMRO Bank NV,0.0186%,Financials,NL,"US$9,663,954.58","285,662",ABNB
NN,NN Group NV,0.0186%,Financials,NL,"US$9,647,610.21","133,050",NN
402340,SK Square Co Ltd,0.0186%,Financials,KR,"US$9,650,527.32","47,626",402340.KS
SAB,Banco de Sabadell SA,0.0186%,Financials,ES,"US$9,648,370.96","2,649,337",SABR
2502,Asahi Group Holdings Ltd,0.0186%,Consumer Staples,JP,"US$9,649,248.24","830,767",2502.HK
TTD,Trade Desk Inc/The,0.0185%,Consumer Discretionary,US,"US$9,616,521.72","243,087",TTD
2303,United Microelectronics Corp,0.0185%,Technology,TW,"US$9,610,922.42","6,586,000",2303.TW
BAP,Credicorp Ltd,0.0184%,Financials,US,"US$9,585,959.49","37,269",BAP
LGEN,Legal & General Group PLC,0.0184%,Financials,GB,"US$9,570,007.30","2,925,333",LGEN.L
GPC,Genuine Parts Co,0.0184%,Consumer Discretionary,US,"US$9,567,839.20","73,373",GPC
HOLX,Hologic Inc,0.0184%,Health Care,US,"US$9,567,296.55","127,615",HOLX
MRU,Metro Inc/CN,0.0184%,Consumer Staples,CA,"US$9,550,033.80","132,787",CADMRU=X
ESSITYB,Essity AB,0.0183%,Consumer Staples,SE,"US$9,503,229.62","343,155",ESSITY-B.ST
MKC,McCormick & Co Inc/MD,0.0182%,Consumer Staples,US,"US$9,491,331.92","140,654",MKC
SMCI,Super Micro Computer Inc,0.0182%,Technology,US,"US$9,479,387.85","280,041",SMCI
086790,Hana Financial Group Inc,0.0182%,Financials,KR,"US$9,474,202.16","149,338",086790.KS
2882,Cathay Financial Holding Co Ltd,0.0182%,Financials,TW,"US$9,457,209.23","4,623,279",2882.TW
SUI,Sun Communities Inc,0.0182%,Real Estate,US,"US$9,453,635.00","73,375",SUI
7832,Bandai Namco Holdings Inc,0.0182%,Consumer Discretionary,JP,"US$9,441,437.36","321,900",7832.TWO
PKG,Packaging Corp of America,0.0182%,Industrials,US,"US$9,444,155.53","46,279",PKG
EQNR,Equinor ASA,0.0181%,Energy,NO,"US$9,437,087.75","409,402",EQNR
6273,SMC Corp,0.0181%,Industrials,JP,"US$9,400,112.27","26,729",6273.T
IT,Gartner Inc,0.018%,Technology,US,"US$9,355,915.26","40,199",IT
IFF,International Flavors & Fragrances Inc,0.018%,Basic Materials,US,"US$9,352,911.24","134,613",IFF
APTV,Aptiv Holdings Ltd,0.018%,Consumer Discretionary,US,"US$9,343,068.90","120,478",APTV
INVH,Invitation Homes Inc,0.018%,Real Estate,US,"US$9,337,640.40","331,122",INVH
DOW,Dow Inc,0.0179%,Industrials,US,"US$9,324,610.65","390,969",DOW
KPN,Koninklijke KPN NV,0.0179%,Telecommunications,NL,"US$9,305,781.84","2,035,133",KKPNY
16,Sun Hung Kai Properties Ltd,0.0179%,Real Estate,HK,"US$9,308,338.47","735,000",TATE.L
SBIN,State Bank of India,0.0177%,Financials,IN,"US$9,226,859.52","843,023",SBIN.NS
CLNX,Cellnex Telecom SA,0.0177%,Telecommunications,ES,"US$9,189,800.12","306,206",CLNX.VI
6178,Japan Post Holdings Co Ltd,0.0176%,Financials,JP,"US$9,175,434.22","932,786",6178.T
AGI,Alamos Gold Inc,0.0175%,Basic Materials,CA,"US$9,127,871.71","241,181",AGI
Q,Qnity Electronics Inc,0.0175%,Technology,US,"US$9,125,057.70","112,530",Q
EVRG,Evergy Inc,0.0175%,Utilities,US,"US$9,095,144.50","117,130",EVRG
ROL,Rollins Inc,0.0175%,Consumer Discretionary,US,"US$9,078,628.64","147,668",ROL
669,Techtronic Industries Co Ltd,0.0174%,Industrials,HK,"US$9,056,643.03","774,000",6693.HK
TTAN,Titan Co Ltd,0.0174%,Consumer Discretionary,IN,"US$9,053,885.00","207,244",TTAN
SCMN,Swisscom AG,0.0172%,Telecommunications,CH,"US$8,970,410.36","12,494",SCMN.SW
ESS,Essex Property Trust Inc,0.0172%,Real Estate,US,"US$8,958,071.22","33,981",ESS
KEY,KeyCorp,0.0172%,Financials,US,"US$8,953,706.72","487,144",KEY
TRU,TransUnion,0.0172%,Industrials,US,"US$8,949,556.35","105,227",TRU
6201,Toyota Industries Corp,0.0172%,Consumer Discretionary,JP,"US$8,950,028.84","79,900",6201.TW
SNA,Snap-on Inc,0.0172%,Industrials,US,"US$8,943,995.10","26,302",SNA
MRK,Merck KGaA,0.0172%,Health Care,DE,"US$8,931,077.37","66,341",MRK
8830,Sumitomo Realty & Development Co Ltd,0.0172%,Real Estate,JP,"US$8,926,673.50","184,700",8830.T
BHE,Bharat Electronics Ltd,0.0172%,Industrials,IN,"US$8,920,052.39","1,937,769",BHE
J,Jacobs Solutions Inc,0.0171%,Industrials,US,"US$8,912,423.91","66,111",J
1812,Kajima Corp,0.0171%,Industrials,JP,"US$8,891,304.07","238,400",KEGS
TPL,Texas Pacific Land Corp,0.0171%,Energy,US,"US$8,890,951.23","10,287",TPL
005490,POSCO Holdings Inc,0.017%,Basic Materials,KR,"US$8,860,204.33","42,101",005490.KS
MAA,Mid-America Apartment Communities Inc,0.017%,Real Estate,US,"US$8,847,662.01","65,109",MAA
2884,E.Sun Financial Holding Co Ltd,0.017%,Financials,TW,"US$8,834,824.56","9,136,111",2884.T
DD,DuPont de Nemours Inc,0.017%,Consumer Staples,US,"US$8,829,297.93","222,009",DD
TSN,Tyson Foods Inc,0.0169%,Consumer Staples,US,"US$8,805,662.55","151,691",TSN
9735,Secom Co Ltd,0.0169%,Industrials,JP,"US$8,778,599.81","259,500",9735.T
6326,Kubota Corp,0.0169%,Industrials,JP,"US$8,767,561.68","607,000",6326.T
FM,First Quantum Minerals Ltd,0.0168%,Basic Materials,CA,"US$8,754,064.32","383,279",FMC
2886,Mega Financial Holding Co Ltd,0.0167%,Financials,TW,"US$8,710,800.92","6,817,668",288620.KQ
9868,XPeng Inc,0.0167%,Consumer Discretionary,HK,"US$8,678,988.17","805,377",9868.HK
PBK,Public Bank Bhd,0.0167%,Financials,MY,"US$8,678,832.63","8,244,891",PBKX
2,CLP Holdings Ltd,0.0167%,Utilities,HK,"US$8,664,200.58","992,000",GC=F
1802,Obayashi Corp,0.0166%,Industrials,JP,"US$8,651,175.91","424,000",1802.TW
FNF,Fidelity National Financial Inc,0.0166%,Financials,US,"US$8,651,522.25","145,575",FNF
DSFIR,DSM-Firmenich AG,0.0166%,Consumer Staples,NL,"US$8,635,218.68","105,153",DSFIR.AS
ACA,Credit Agricole SA,0.0166%,Financials,FR,"US$8,636,386.15","450,462",ACA
SHBA,Svenska Handelsbanken AB,0.0166%,Financials,SE,"US$8,628,192.99","621,688",SHBAJRG.BO
ALLE,Allegion plc,0.0166%,Industrials,US,"US$8,630,405.43","51,981",ALLE
ACS,ACS Actividades de Construccion y Servicios SA,0.0166%,Industrials,ES,"US$8,618,253.96","93,233",ACS.JO
TNB,Tenaga Nasional Bhd,0.0165%,Utilities,MY,"US$8,607,106.11","2,698,700",TNBI
WY,Weyerhaeuser Co,0.0165%,Real Estate,US,"US$8,588,340.48","386,688",WY
COO,Cooper Cos Inc/The,0.0165%,Health Care,US,"US$8,568,403.50","109,950",COO
EQH,Equitable Holdings Inc,0.0165%,Financials,US,"US$8,570,649.85","183,565",EQH
BBD/B,Bombardier Inc,0.0165%,Industrials,CA,"US$8,567,709.61","51,462",BBD-PR.NE
STMPA,STMicroelectronics NV,0.0164%,Technology,FR,"US$8,541,893.78","372,179",STMPA.PA
CHKP,Check Point Software Technologies Ltd,0.0163%,Technology,US,"US$8,499,715.93","45,509",CHKP
ETERNAL,Zomato Ltd,0.0163%,Technology,IN,"US$8,493,416.29","2,531,539",3193.T
LISN,Chocoladefabriken Lindt & Spruengli AG,0.0163%,Consumer Staples,CH,"US$8,490,192.42",57,LISN.SW
9503,Kansai Electric Power Co Inc/The,0.0163%,Utilities,JP,"US$8,469,649.47","495,200",9503.T
BURL,Burlington Stores Inc,0.0162%,Consumer Discretionary,US,"US$8,442,390.33","33,471",BURL
TRN,Terna - Rete Elettrica Nazionale,0.0162%,Utilities,IT,"US$8,421,747.04","798,491",TRN
7013,IHI Corp,0.0162%,Industrials,JP,"US$8,416,297.66","471,500",7013.T
11,Hang Seng Bank Ltd,0.0161%,Financials,HK,"US$8,380,618.06","428,700",1156.HK
BBY,Best Buy Co Inc,0.0161%,Consumer Discretionary,US,"US$8,378,072.56","105,677",BBY
7936,Asics Corp,0.0161%,Consumer Discretionary,JP,"US$8,369,004.17","349,100",7936.T
196170,Alteogen Inc,0.0161%,Health Care,KR,"US$8,362,589.33","23,074",196170.KQ
WRT1V,Wartsila OYJ Abp,0.016%,Industrials,FI,"US$8,339,568.32","257,466",WRT1V.HE
CIMB,CIMB Group Holdings Bhd,0.016%,Financials,MY,"US$8,322,533.58","4,495,800",1023.KL
FBK,FinecoBank Banca Fineco SpA,0.016%,Financials,IT,"US$8,312,795.58","338,667",FBK
6669,Wiwynn Corp,0.016%,Technology,TW,"US$8,299,824.76","57,000",6669.HK
PINS,Pinterest Inc,0.016%,Technology,US,"US$8,299,891.20","317,760",PINS
7733,Olympus Corp,0.0159%,Health Care,JP,"US$8,290,996.48","616,100",7733.T
9532,Osaka Gas Co Ltd,0.0159%,Utilities,JP,"US$8,283,106.70","235,700",9532-SABE.SR
RPRX,Royalty Pharma PLC,0.0159%,Health Care,US,"US$8,272,053.96","206,698",RPRX
2345,Accton Technology Corp,0.0159%,Telecommunications,TW,"US$8,262,705.11","253,000",2345.TW
JBHT,JB Hunt Transport Services Inc,0.0159%,Industrials,US,"US$8,253,706.16","47,446",JBHT
TXT,Textron Inc,0.0159%,Industrials,US,"US$8,257,289.04","99,294",TXT
MTN,MTN Group Ltd,0.0159%,Telecommunications,ZA,"US$8,243,552.91","894,296",MTN
PKN,ORLEN SA,0.0158%,Energy,PL,"US$8,233,691.02","319,246",PKN.WA
TOU,Tourmaline Oil Corp,0.0158%,Energy,CA,"US$8,228,789.04","178,348",601888.SS
SCHP,Schindler Holding AG,0.0158%,Industrials,CH,"US$8,215,931.25","22,986",SCHP
BALL,Ball Corp,0.0158%,Industrials,US,"US$8,201,623.17","165,589",BALL
KEP,Keppel Ltd,0.0157%,Utilities,SG,"US$8,161,797.48","1,032,300",KEP
UTCEM,UltraTech Cement Ltd,0.0157%,Industrials,IN,"US$8,155,112.22","62,884",UCLQF
SGE,Sage Group PLC/The,0.0157%,Technology,GB,"US$8,146,867.15","572,227",SGE.L
TATA,Tata Steel Ltd,0.0156%,Basic Materials,IN,"US$8,119,043.41","4,323,816",TATASTEEL.NS
IMO,Imperial Oil Ltd,0.0156%,Energy,CA,"US$8,115,336.90","80,982",IMO
WPC,WP Carey Inc,0.0155%,Real Estate,US,"US$8,081,098.87","119,951",WPC
2020,ANTA Sports Products Ltd,0.0155%,Consumer Discretionary,HK,"US$8,064,760.58","740,000",2020.OL
3017,Asia Vital Components Co Ltd,0.0155%,Technology,TW,"US$8,061,175.72","184,000",3017.TW
MAS,Masco Corp,0.0155%,Industrials,US,"US$8,035,706.38","123,874",MAS
2885,Yuanta Financial Holding Co Ltd,0.0155%,Financials,TW,"US$8,037,602.60","6,987,816",2885.HK
DSCT,Israel Discount Bank Ltd,0.0154%,Financials,IL,"US$8,016,307.29","767,585",DSCT.TA
BBRI,Bank Rakyat Indonesia Persero Tbk PT,0.0154%,Financials,ID,"US$7,995,234.51","36,184,954",BBRI.JK
386,China Petroleum & Chemical Corp,0.0153%,Energy,HK,"US$7,973,866.37","14,077,400",3864.T
CEMEXCPO,Cemex SAB de CV,0.0153%,Industrials,MX,"US$7,957,862.19","7,527,924",CEMEXCPO.MX
AVY,Avery Dennison Corp,0.0153%,Basic Materials,US,"US$7,955,220.24","46,152",AVY
SBSP3,Cia de Saneamento Basico do Estado de Sao Paulo SABESP,0.0153%,Utilities,BR,"US$7,950,345.67","301,300",SBSP3.SA
OMC,Omnicom Group Inc,0.0152%,Consumer Discretionary,US,"US$7,913,437.04","110,492",OMC
BAER,Julius Baer Group Ltd,0.0152%,Financials,CH,"US$7,904,893.95","110,579",BAER
1928,Sekisui House Ltd,0.0152%,Consumer Discretionary,JP,"US$7,906,066.00","352,800",1928.HK
BPE,BPER Banca SPA,0.0152%,Financials,IT,"US$7,897,787.54","655,608",ASRY.BE
7270,Subaru Corp,0.0152%,Consumer Discretionary,JP,"US$7,894,968.92","351,100",7270.T
9531,Tokyo Gas Co Ltd,0.0152%,Utilities,JP,"US$7,892,175.58","194,500",9531.T
LISP,Chocoladefabriken Lindt & Spruengli AG,0.0152%,Consumer Staples,CH,"US$7,890,304.50",536,LISPN.MX
EVN,Evolution Mining Ltd,0.0152%,Basic Materials,AU,"US$7,882,500.93","1,011,757",EVN
MONC,Moncler SpA,0.0152%,Consumer Discretionary,IT,"US$7,879,038.02","116,811",FMONC.PA
SABIC,Saudi Basic Industries Corp,0.0151%,Basic Materials,SA,"US$7,872,655.33","535,519",2020.SR
GEN,Gen Digital Inc,0.0151%,Technology,US,"US$7,836,926.67","297,191",GEN
AXIA3,Axia Energia,0.0151%,Utilities,BR,"US$7,828,875.95","669,300",AXIA3.SA
RO,Roche Holding AG,0.015%,Health Care,CH,"US$7,794,959.09","19,596",HRC=F
FFIV,F5 Inc,0.015%,Technology,US,"US$7,786,571.28","32,558",FFIV
UPM,UPM-Kymmene Oyj,0.015%,Basic Materials,FI,"US$7,784,685.69","285,315",UPM.HE
ITC,ITC Ltd,0.015%,Consumer Staples,IN,"US$7,777,969.31","1,721,014",ITC.NS
BOL,Boliden AB,0.0149%,Basic Materials,SE,"US$7,772,056.96","162,249",BOLT
QIBK,Qatar Islamic Bank QPSC,0.0149%,Financials,QA,"US$7,759,471.99","1,215,150",QIBK.QA
BT/A,BT Group PLC,0.0149%,Telecommunications,GB,"US$7,752,371.24","3,233,405",214.BE
SHL,Siemens Healthineers AG,0.0149%,Health Care,DE,"US$7,733,231.12","155,542",SHL.DE
ENX,Euronext NV,0.0149%,Financials,FR,"US$7,723,100.35","50,300",ENX.AX
CG,Carlyle Group Inc/The,0.0148%,Financials,US,"US$7,682,840.76","140,892",CG
SN/,Smith & Nephew PLC,0.0148%,Health Care,GB,"US$7,680,718.10","462,078",SNAP
2503,Kirin Holdings Co Ltd,0.0147%,Consumer Staples,JP,"US$7,656,869.59","487,000",2503.HK
B3SA3,B3 SA - Brasil Bolsa Balcao,0.0147%,Financials,BR,"US$7,656,055.50","2,734,481",B3SA3F.SA
XRO,Xero Ltd,0.0147%,Technology,AU,"US$7,629,925.70","95,170",XRO.AX
DPZ,Domino's Pizza Inc,0.0147%,Consumer Discretionary,US,"US$7,624,257.47","18,169",DPZ
RIVN,Rivian Automotive Inc,0.0146%,Consumer Discretionary,US,"US$7,606,001.22","451,127",RIVN
RTO,Rentokil Initial PLC,0.0146%,Industrials,GB,"US$7,581,424.84","1,374,779",RTO
CF,CF Industries Holdings Inc,0.0146%,Basic Materials,US,"US$7,575,662.00","96,260",CF
KIM,Kimco Realty Corp,0.0145%,Real Estate,US,"US$7,545,651.80","365,230",KIM
DOCU,DocuSign Inc,0.0145%,Technology,US,"US$7,538,483.70","108,702",DOCU
9766,Konami Group Corp,0.0145%,Consumer Discretionary,JP,"US$7,514,783.72","49,200",9766.T
FPH,Fisher & Paykel Healthcare Corp Ltd,0.0144%,Health Care,NZ,"US$7,503,706.87","350,443",FPH
HEN3,Henkel AG & Co KGaA,0.0144%,Basic Materials,DE,"US$7,497,332.88","92,845",HEN3.DE
HNDL,Hindalco Industries Ltd,0.0144%,Basic Materials,IN,"US$7,478,934.78","827,526",HNDL
KYGA,Kerry Group PLC,0.0144%,Consumer Staples,IE,"US$7,472,889.31","80,539",KYGAL.XC
EG,Everest Group Ltd,0.0143%,Financials,US,"US$7,447,101.55","23,695",EG
175,Geely Automobile Holdings Ltd,0.0143%,Consumer Discretionary,HK,"US$7,438,230.07","3,418,600",1756.HK
LUN,Lundin Mining Corp,0.0143%,Basic Materials,CA,"US$7,436,138.49","397,026",LUNR
MG,Magna International Inc,0.0143%,Consumer Discretionary,CA,"US$7,433,098.42","151,515",MG
GWO,Great-West Lifeco Inc,0.0143%,Financials,CA,"US$7,428,785.47","159,841",GWO.TO
KSP,Kingspan Group PLC,0.0143%,Industrials,IE,"US$7,426,649.70","86,652",KSPI
ORG,Origin Energy Ltd,0.0142%,Utilities,AU,"US$7,373,973.59","962,692",OGN
2887,TS Financial Holding Co Ltd,0.0142%,Financials,TW,"US$7,365,126.37","12,806,343",2887E.TW
2269,Wuxi Biologics Cayman Inc,0.0142%,Health Care,HK,"US$7,360,833.60","1,839,169",226950.KQ
