Holdings details

Total World Stock ETF (VT)


Equity,as of 11/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BYVYHH4,Welltower Inc,WELL,0.13%,Health Care REITs,US,---,"$100,389,733.26","482,133"
,2914734,Union Pacific Corp,UNP,0.13%,Rail Transportation,US,---,"$99,925,684.90","431,030"
,4012250,Airbus SE,AIR,0.13%,Aerospace & Defense,FR,---,"$99,530,123.60","423,186"
,2654461,Capital One Financial Corp,COF,0.13%,Consumer Finance,US,---,"$99,256,235.60","453,080"
,2108601,Boeing Co/The,BA,0.13%,Aerospace & Defense,US,---,"$98,940,177.00","523,493"
,2008154,Adobe Inc,ADBE,0.13%,Application Software,US,---,"$98,321,206.77","307,129"
,2536763,Lowe's Cos Inc,LOW,0.13%,Home Improvement Retail,US,---,"$97,923,850.64","403,843"
,B8KQN82,Eaton Corp PLC,ETN,0.13%,Electrical Components & Equipment,US,---,"$97,865,078.93","282,937"
,BL9XPM3,Arista Networks Inc,ANET,0.13%,Communications Equipment,US,---,"$97,390,707.48","745,261"
,BTN1Y11,Medtronic PLC,MDT,0.13%,Health Care Equipment,US,---,"$97,236,653.46","923,162"
,6144690,BHP Group Ltd,BHP,0.13%,Diversified Metals & Mining,AU,---,"$96,867,304.14","3,540,087"
,2705024,Progressive Corp/The,PGR,0.13%,Property & Casualty Insurance,US,---,"$96,753,231.89","422,891"
,2032067,Analog Devices Inc,ADI,0.13%,Semiconductors,US,---,"$95,095,467.94","358,391"
,BK1N461,HDFC Bank Ltd,HDFCB,0.12%,Diversified Banks,IN,---,"$92,034,432.90","8,144,599"
,2853688,Stryker Corp,SYK,0.12%,Health Care Equipment,US,---,"$91,877,814.22","247,529"
,B87ZMX0,Palo Alto Networks Inc,PANW,0.12%,Systems Software,US,---,"$90,283,230.50","474,850"
,BJJP138,Crowdstrike Holdings Inc,CRWD,0.12%,Systems Software,US,---,"$90,003,704.04","176,769"
,BRJL176,UBS Group AG,UBSG,0.12%,Diversified Capital Markets,CH,---,"$88,799,484.71","2,300,837"
,5501906,Banco Bilbao Vizcaya Argentaria SA,BBVA,0.12%,Diversified Banks,ES,---,"$88,443,666.28","4,092,032"
,B15C557,TotalEnergies SE,TTE,0.12%,Integrated Oil & Gas,FR,---,"$88,385,795.30","1,343,520"
,2020459,Honeywell International Inc,HON,0.12%,Industrial Conglomerates,US,---,"$88,117,769.67","458,493"
,B63H849,Rolls-Royce Holdings PLC,RR/,0.11%,Aerospace & Defense,GB,---,"$86,515,595.72","6,129,659"
,B44WZD7,Prologis Inc,PLD,0.11%,Industrial REITs,US,---,"$85,989,526.19","669,023"
,2093666,Berkshire Hathaway Inc,BRK/A,0.11%,Multi-Sector Holdings,US,---,"$85,481,100.00",111
,0287580,British American Tobacco PLC,BATS,0.11%,Tobacco,GB,---,"$85,156,587.25","1,450,333"
,B058TZ6,Safran SA,SAF,0.11%,Aerospace & Defense,FR,---,"$84,425,002.28","251,144"
