This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard S&P 500 UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
HWM;Howmet Aerospace Inc;0.1399%;Industrials;US;US$111,418,077.28;544,592
WM;Waste Management Inc;0.1369%;Industrials;US;US$109,061,800.34;500,582
SHW;Sherwin-Williams Co/The;0.1352%;Materials;US;US$107,676,358.55;313,295
REGN;Regeneron Pharmaceuticals Inc;0.1348%;Health Care;US;US$107,354,144.00;137,600
BK;Bank of New York Mellon Corp/The;0.1341%;Financials;US;US$106,759,107.60;952,356
SNPS;Synopsys Inc;0.1312%;Information Technology;US;US$104,486,615.62;249,962
NOC;Northrop Grumman Corp;0.1307%;Industrials;US;US$104,052,217.50;181,830
NKE;NIKE Inc;0.1303%;Consumer Discretionary;US;US$103,735,544.84;1,605,068
TDG;TransDigm Group Inc;0.13%;Industrials;US;US$103,519,818.36;76,108
AON;Aon PLC;0.1295%;Financials;US;US$103,086,986.24;291,272
USB;US Bancorp;0.1295%;Financials;US;US$103,084,411.95;2,101,619
ELV;Elevance Health Inc;0.1292%;Health Care;US;US$102,910,192.84;304,234
JCI;Johnson Controls International plc;0.1291%;Industrials;US;US$102,825,600.15;884,065
MCO;Moody's Corp;0.1284%;Financials;US;US$102,254,503.78;208,351
PNC;PNC Financial Services Group Inc/The;0.1274%;Financials;US;US$101,415,550.72;531,751
EMR;Emerson Electric Co;0.1273%;Industrials;US;US$101,382,671.52;760,104
MDLZ;Mondelez International Inc;0.1264%;Consumer Staples;US;US$100,641,168.21;1,748,153
WMB;Williams Cos Inc/The;0.1262%;Energy;US;US$100,499,648.04;1,649,428
CI;Cigna Group/The;0.1256%;Health Care;US;US$99,992,436.32;360,619
EQIX;Equinix Inc;0.1251%;Real Estate;US;US$99,588,335.31;132,201
DASH;DoorDash Inc;0.1246%;Consumer Discretionary;US;US$99,191,942.95;500,035
COR;Cencora Inc;0.1214%;Health Care;US;US$96,641,582.43;261,951
UPS;United Parcel Service Inc;0.1197%;Industrials;US;US$95,283,941.43;994,717
ECL;Ecolab Inc;0.1192%;Materials;US;US$94,902,959.16;344,901
GM;General Motors Co;0.1187%;Consumer Discretionary;US;US$94,550,248.96;1,286,048
PWR;Quanta Services Inc;0.1175%;Industrials;US;US$93,558,029.76;201,252
MAR;Marriott International Inc/MD;0.1165%;Consumer Discretionary;US;US$92,778,990.37;304,403
CMI;Cummins Inc;0.1164%;Industrials;US;US$92,684,535.58;186,121
RCL;Royal Caribbean Cruises Ltd;0.1141%;Consumer Discretionary;US;US$90,855,682.50;341,242
HLT;Hilton Worldwide Holdings Inc;0.1137%;Consumer Discretionary;US;US$90,538,639.38;317,646
TEL;TE Connectivity PLC;0.1133%;Information Technology;US;US$90,242,896.00;399,040
AEP;American Electric Power Co Inc;0.1123%;Utilities;US;US$89,402,660.33;722,329
AZO;AutoZone Inc;0.1123%;Consumer Discretionary;US;US$89,395,538.31;22,607
ITW;Illinois Tool Works Inc;0.1121%;Industrials;US;US$89,291,846.72;358,199
TRV;Travelers Cos Inc/The;0.1119%;Financials;US;US$89,072,783.28;304,148
CSX;CSX Corp;0.1118%;Industrials;US;US$89,048,254.88;2,518,333
GLW;Corning Inc;0.1113%;Information Technology;US;US$88,655,190.40;1,052,912
NSC;Norfolk Southern Corp;0.1112%;Industrials;US;US$88,523,132.12;303,068
CL;Colgate-Palmolive Co;0.1102%;Consumer Staples;US;US$87,757,663.11;1,091,649
ADSK;Autodesk Inc;0.1101%;Information Technology;US;US$87,674,663.54;289,031
CTAS;Cintas Corp;0.1081%;Industrials;US;US$86,059,734.74;462,637
AJG;Arthur J Gallagher & Co;0.1077%;Financials;US;US$85,755,510.78;346,319
SRE;Sempra;0.1048%;Utilities;US;US$83,489,428.48;881,434
FCX;Freeport-McMoRan Inc;0.1047%;Materials;US;US$83,352,575.32;1,939,334
COIN;Coinbase Global Inc;0.1047%;Financials;US;US$83,341,872.06;305,483
MSI;Motorola Solutions Inc;0.1045%;Information Technology;US;US$83,196,114.32;225,049
SPG;Simon Property Group Inc;0.1032%;Real Estate;US;US$82,203,452.40;441,195
APO;Apollo Global Management Inc;0.1029%;Financials;US;US$81,956,509.65;621,589
IDXX;IDEXX Laboratories Inc;0.1022%;Health Care;US;US$81,352,448.40;108,055
TFC;Truist Financial Corp;0.1017%;Financials;US;US$80,980,773.00;1,741,522
PYPL;PayPal Holdings Inc;0.1016%;Financials;US;US$80,904,328.74;1,290,546
FDX;FedEx Corp;0.1016%;Industrials;US;US$80,871,830.72;293,354
WBD;Warner Bros Discovery Inc;0.1008%;Communication Services;US;US$80,282,064.00;3,345,086
MPC;Marathon Petroleum Corp;0.0999%;Energy;US;US$79,556,193.15;410,655
EOG;EOG Resources Inc;0.0999%;Energy;US;US$79,518,020.70;737,302
STX;Seagate Technology Holdings PLC;0.0998%;Information Technology;US;US$79,487,779.89;287,281
APD;Air Products and Chemicals Inc;0.0986%;Materials;US;US$78,508,699.10;300,742
ROST;Ross Stores Inc;0.0978%;Consumer Discretionary;US;US$77,908,440.88;441,758
VST;Vistra Corp;0.0966%;Utilities;US;US$76,947,181.74;430,209
ZTS;Zoetis Inc;0.0964%;Health Care;US;US$76,732,393.40;598,630
WDC;Western Digital Corp;0.0961%;Information Technology;US;US$76,533,171.40;468,580
