This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard FTSE All-World UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
3045;Taiwan Mobile Co Ltd;0.0048%;Telecommunications;TW;US$2,518,910.31;732,000
002004;Huapont Life Sciences Co Ltd;0.0048%;Health Care;CN;US$2,508,359.62;3,701,768
000869;Yantai Changyu Pioneer Wine Co Ltd;0.0048%;Consumer Staples;CN;US$2,507,317.21;842,000
1357;Meitu Inc;0.0048%;Technology;HK;US$2,506,897.35;2,269,500
358;Jiangxi Copper Co Ltd;0.0048%;Basic Materials;HK;US$2,502,286.27;635,000
AOT/F;Airports of Thailand PCL;0.0048%;Industrials;TH;US$2,502,854.48;1,852,400
NWS;News Corp;0.0048%;Consumer Discretionary;US;US$2,497,076.64;84,848
601878;Zheshang Securities Co Ltd;0.0048%;Financials;CN;US$2,495,793.58;1,611,200
600663;Shanghai Lujiazui Finance & Trade Zone Development Co Ltd;0.0048%;Real Estate;CN;US$2,489,735.25;2,154,200
3563;Food & Life Cos Ltd;0.0048%;Consumer Discretionary;JP;US$2,486,741.43;55,200
1816;CGN Power Co Ltd;0.0048%;Utilities;HK;US$2,488,806.26;6,395,000
12;Henderson Land Development Co Ltd;0.0048%;Real Estate;HK;US$2,475,724.55;656,953
003230;Samyang Foods Co Ltd;0.0048%;Consumer Staples;KR;US$2,478,013.12;2,522
9024;Seibu Holdings Inc;0.0048%;Consumer Discretionary;JP;US$2,477,138.30;79,719
603501;OmniVision Integrated Circuits Group Inc;0.0048%;Technology;CN;US$2,478,398.93;146,645
BSAN;Banco Santander Chile;0.0047%;Financials;CL;US$2,473,304.27;32,985,321
7261;Mazda Motor Corp;0.0047%;Consumer Discretionary;JP;US$2,469,114.39;337,100
AZRG;Azrieli Group Ltd;0.0047%;Real Estate;IL;US$2,470,376.09;24,364
R3NK;RENK Group AG;0.0047%;Industrials;DE;US$2,466,173.87;42,121
AMM;AMMB Holdings Bhd;0.0047%;Financials;MY;US$2,467,828.19;1,714,000
600276;Jiangsu Hengrui Pharmaceuticals Co Ltd;0.0047%;Health Care;CN;US$2,468,121.19;281,041
600958;Orient Securities Co Ltd/China;0.0047%;Financials;CN;US$2,458,568.10;1,669,500
TOTS3;TOTVS SA;0.0047%;Technology;BR;US$2,450,018.04;305,863
000012;CSG Holding Co Ltd;0.0047%;Industrials;CN;US$2,445,228.25;3,693,418
JARIR;Jarir Marketing Co;0.0047%;Consumer Discretionary;SA;US$2,441,117.09;721,081
A2A;A2A SpA;0.0047%;Utilities;IT;US$2,441,840.01;891,919
2897;Nissin Foods Holdings Co Ltd;0.0047%;Consumer Staples;JP;US$2,434,412.05;134,000
096770;SK Innovation Co Ltd;0.0047%;Energy;KR;US$2,428,008.02;31,050
8359;Hachijuni Bank Ltd/The;0.0047%;Financials;JP;US$2,422,580.26;225,900
2768;Sojitz Corp;0.0047%;Industrials;JP;US$2,425,749.18;82,940
ADNOCDIS;Abu Dhabi National Oil Co for Distribution PJSC;0.0047%;Energy;AE;US$2,417,375.68;2,306,145
4;Wharf Holdings Ltd/The;0.0047%;Real Estate;HK;US$2,418,927.25;798,000
000088;Shenzhen Yan Tian Port Holding Co Ltd;0.0046%;Industrials;CN;US$2,407,768.48;3,859,500
EDEN;Edenred SE;0.0046%;Industrials;FR;US$2,408,488.34;112,239
603993;CMOC Group Ltd;0.0046%;Basic Materials;CN;US$2,409,146.90;1,049,300
BHFC;Bharat Forge Ltd;0.0046%;Basic Materials;IN;US$2,409,284.12;150,303
2207;Hotai Motor Co Ltd;0.0046%;Consumer Discretionary;TW;US$2,406,958.74;123,840
VOLT;Voltas Ltd;0.0046%;Industrials;IN;US$2,397,829.33;155,838
6645;Omron Corp;0.0046%;Industrials;JP;US$2,396,068.57;93,500
3231;Nomura Real Estate Holdings Inc;0.0046%;Real Estate;JP;US$2,391,911.89;389,500
GVTD;GE Vernova T&D India Ltd;0.0046%;Industrials;IN;US$2,393,094.55;74,289
ADEN;Adecco Group AG;0.0046%;Industrials;CH;US$2,389,579.53;85,428
CLGT;Colgate-Palmolive India Ltd;0.0046%;Consumer Staples;IN;US$2,385,114.52;98,378
9863;Zhejiang Leapmotor Technology Co Ltd;0.0046%;Consumer Discretionary;HK;US$2,381,923.04;349,900
VZN;VZ Holding AG;0.0046%;Financials;CH;US$2,370,996.95;12,760
RAA;Rational AG;0.0046%;Consumer Discretionary;DE;US$2,369,986.97;3,171
300059;East Money Information Co Ltd;0.0046%;Financials;CN;US$2,372,023.37;716,569
MCX;Multi Commodity Exchange of India Ltd;0.0046%;Financials;IN;US$2,370,858.01;21,052
SDF;Steadfast Group Ltd;0.0046%;Financials;AU;US$2,367,698.49;695,645
MIN;Mineral Resources Ltd;0.0045%;Basic Materials;AU;US$2,360,280.04;73,331
9962;MISUMI Group Inc;0.0045%;Industrials;JP;US$2,358,564.56;163,000
010130;Korea Zinc Co Ltd;0.0045%;Basic Materials;KR;US$2,354,305.92;2,580
WPP;WPP PLC;0.0045%;Consumer Discretionary;GB;US$2,353,171.25;584,588
EGIE3;Engie Brasil Energia SA;0.0045%;Utilities;BR;US$2,350,240.31;409,850
3529;eMemory Technology Inc;0.0045%;Technology;TW;US$2,345,706.55;36,000
2018;AAC Technologies Holdings Inc;0.0045%;Technology;HK;US$2,342,773.84;497,000
INDUA;Industrivarden AB;0.0045%;Financials;SE;US$2,343,201.34;55,753
COPEC;Empresas Copec SA;0.0045%;Energy;CL;US$2,339,633.26;327,003
SIGN;SIG Group AG;0.0045%;Industrials;CH;US$2,338,339.85;192,868
688256;Cambricon Technologies Corp Ltd;0.0045%;Technology;CN;US$2,337,974.81;12,417
CENCOSUD;Cencosud SA;0.0045%;Consumer Staples;CL;US$2,335,003.15;743,304
GULF/F;Gulf Development PCL;0.0045%;Utilities;TH;US$2,334,121.27;1,844,099
VEND;Schibsted ASA;0.0045%;Technology;NO;US$2,329,995.85;83,850
SOL;Sasol Ltd;0.0045%;Basic Materials;ZA;US$2,333,046.85;359,023
5844;Kyoto Financial Group Inc;0.0045%;Financials;JP;US$2,329,125.28;106,900
003670;POSCO Future M Co Ltd;0.0045%;Basic Materials;KR;US$2,331,576.17;16,605
6770;Powerchip Semiconductor Manufacturing Corp;0.0045%;Technology;TW;US$2,327,296.48;2,142,000
CAMT;Camtek Ltd/Israel;0.0045%;Technology;IL;US$2,323,658.93;21,991
3692;Hansoh Pharmaceutical Group Co Ltd;0.0045%;Health Care;HK;US$2,324,676.33;450,000
032640;LG Uplus Corp;0.0045%;Telecommunications;KR;US$2,319,843.16;226,539
5801;Furukawa Electric Co Ltd;0.0045%;Industrials;JP;US$2,322,153.16;36,500
RBI;Raiffeisen Bank International AG;0.0045%;Financials;AT;US$2,317,775.52;57,159
CD;ComfortDelGro Corp Ltd;0.0045%;Industrials;SG;US$2,317,408.79;2,084,300
BBSE3;BB Seguridade Participacoes SA;0.0045%;Financials;BR;US$2,313,079.59;362,335
MRP;Mr Price Group Ltd;0.0044%;Consumer Discretionary;ZA;US$2,312,077.44;188,545
LAURUS;Laurus Labs Ltd;0.0044%;Health Care;IN;US$2,311,430.06;200,467
5105;Toyo Tire Corp;0.0044%;Consumer Discretionary;JP;US$2,300,406.28;83,600
OPAP;OPAP SA;0.0044%;Consumer Discretionary;GR;US$2,299,845.83;112,468
3861;Oji Holdings Corp;0.0044%;Basic Materials;JP;US$2,294,509.84;435,700
POLYCAB;Polycab India Ltd;0.0044%;Industrials;IN;US$2,292,840.49;27,455
MOL;MOL Hungarian Oil & Gas PLC;0.0044%;Energy;HU;US$2,291,875.13;258,881
BOL;Bollore SE;0.0044%;Consumer Discretionary;FR;US$2,295,121.12;413,727
1171;Yankuang Energy Group Co Ltd;0.0044%;Energy;HK;US$2,288,009.66;1,753,300
CGF;Challenger Ltd;0.0044%;Financials;AU;US$2,284,898.17;392,358
005387;Hyundai Motor Co;0.0044%;Consumer Discretionary;KR;US$2,276,188.83;17,193
KCHOL;KOC Holding AS;0.0044%;Energy;TR;US$2,272,140.44;573,196
018260;Samsung SDS Co Ltd;0.0044%;Technology;KR;US$2,272,713.43;19,836
BC;Brunello Cucinelli SpA;0.0044%;Consumer Discretionary;IT;US$2,272,191.60;21,360
601880;Liaoning Port Co Ltd;0.0044%;Industrials;CN;US$2,269,918.16;9,904,900
9684;Square Enix Holdings Co Ltd;0.0044%;Consumer Discretionary;JP;US$2,268,726.69;113,400
EVK;Evonik Industries AG;0.0044%;Basic Materials;DE;US$2,264,751.07;147,057
ICL;ICL Group Ltd;0.0044%;Basic Materials;IL;US$2,262,876.89;409,279
GFS;GLOBALFOUNDRIES Inc;0.0043%;Technology;US;US$2,255,303.68;62,927
TEP;Teleperformance SE;0.0043%;Industrials;FR;US$2,256,063.44;32,815
MASAR;Umm Al Qura for Development & Construction Co;0.0043%;Real Estate;SA;US$2,259,098.24;427,162
3606;Fuyao Glass Industry Group Co Ltd;0.0043%;Industrials;HK;US$2,259,532.98;261,200
VOW;Volkswagen AG;0.0043%;Consumer Discretionary;DE;US$2,258,570.11;19,559
2633;Taiwan High Speed Rail Corp;0.0043%;Industrials;TW;US$2,254,879.72;2,532,000
MLT;Mapletree Logistics Trust;0.0043%;Real Estate;SG;US$2,244,960.07;2,202,697
VSURE;Verisure Group Topholding AB;0.0043%;Industrials;SE;US$2,248,663.67;117,273
GRF;Grifols SA;0.0043%;Health Care;ES;US$2,243,003.99;183,543
MCDCO;Makkah Construction & Development Co;0.0043%;Industrials;SA;US$2,244,257.13;100,468
LTM;Latam Airlines Group SA;0.0043%;Consumer Discretionary;CL;US$2,237,762.80;93,170,573
SUF;Sundaram Finance Ltd;0.0043%;Financials;IN;US$2,233,579.23;42,251
8354;Fukuoka Financial Group Inc;0.0043%;Financials;JP;US$2,233,306.63;72,500
2333;Great Wall Motor Co Ltd;0.0043%;Consumer Discretionary;HK;US$2,232,348.18;1,161,000
268;Kingdee International Software Group Co Ltd;0.0043%;Technology;HK;US$2,230,733.66;1,230,000
042700;Hanmi Semiconductor Co Ltd;0.0043%;Technology;KR;US$2,224,489.04;26,468
MINT;Mapletree Industrial Trust;0.0043%;Real Estate;SG;US$2,226,150.38;1,399,611
SBID;State Bank of India;0.0043%;Financials;GB;US$2,224,657.80;20,261
2501;Sapporo Holdings Ltd;0.0043%;Consumer Staples;JP;US$2,227,061.20;42,900
A2M;a2 Milk Co Ltd/The;0.0043%;Consumer Staples;AU;US$2,210,858.87;351,537
PAYTM;One 97 Communications Ltd;0.0042%;Industrials;IN;US$2,204,909.99;149,344
BELA;JUMBO SA;0.0042%;Consumer Discretionary;GR;US$2,201,569.81;69,335
002460;Ganfeng Lithium Group Co Ltd;0.0042%;Basic Materials;CN;US$2,196,742.51;248,260
5101;Yokohama Rubber Co Ltd/The;0.0042%;Consumer Discretionary;JP;US$2,190,667.09;55,200
BRPT;Barito Pacific Tbk PT;0.0042%;Basic Materials;ID;US$2,187,166.34;10,175,211
AKE;Arkema SA;0.0042%;Basic Materials;FR;US$2,183,072.04;35,864
SWECB;Sweco AB;0.0042%;Industrials;SE;US$2,178,376.06;127,773
1326;Formosa Chemicals & Fibre Corp;0.0042%;Basic Materials;TW;US$2,182,190.09;2,050,540
4527;Rohto Pharmaceutical Co Ltd;0.0042%;Health Care;JP;US$2,179,424.54;134,400
FPE3;FUCHS SE;0.0042%;Basic Materials;DE;US$2,180,655.82;47,787
2376;Gigabyte Technology Co Ltd;0.0042%;Technology;TW;US$2,180,133.82;281,000
1208;MMG Ltd;0.0042%;Basic Materials;HK;US$2,177,658.24;2,453,600
BIG;Big Shopping Centers Ltd;0.0042%;Real Estate;IL;US$2,169,196.65;9,678
2344;Winbond Electronics Corp;0.0042%;Technology;TW;US$2,166,174.80;1,172,162
3436;SUMCO Corp;0.0042%;Technology;JP;US$2,156,900.61;272,980
MER;Manila Electric Co;0.0042%;Utilities;PH;US$2,158,932.13;214,050
ALPHADHA;Alpha Dhabi Holding PJSC;0.0042%;Industrials;AE;US$2,161,499.70;881,117
300502;Eoptolink Technology Inc Ltd;0.0041%;Telecommunications;CN;US$2,155,007.46;43,800
CPN/F;Central Pattana PCL;0.0041%;Real Estate;TH;US$2,155,952.79;1,297,400
5333;NGK Insulators Ltd;0.0041%;Industrials;JP;US$2,144,162.77;108,600
3888;Kingsoft Corp Ltd;0.0041%;Technology;HK;US$2,143,879.98;582,800
9009;Keisei Electric Railway Co Ltd;0.0041%;Industrials;JP;US$2,137,814.80;263,200
600019;Baoshan Iron & Steel Co Ltd;0.0041%;Basic Materials;CN;US$2,136,760.06;2,083,400
HVN;Harvey Norman Holdings Ltd;0.0041%;Consumer Discretionary;AU;US$2,131,910.92;468,423
000776;GF Securities Co Ltd;0.0041%;Financials;CN;US$2,128,668.61;711,800
SAPR11;Cia De Sanena Do Parana;0.0041%;Utilities;BR;US$2,129,653.58;304,500
RHC;Ramsay Health Care Ltd;0.0041%;Health Care;AU;US$2,121,060.73;87,865
AVOL;Avolta AG;0.0041%;Consumer Discretionary;CH;US$2,118,935.87;38,563
005830;DB Insurance Co Ltd;0.0041%;Financials;KR;US$2,118,358.21;25,023
PHNX;Phoenix Mills Ltd/The;0.0041%;Real Estate;IN;US$2,115,867.92;108,970
9513;Electric Power Development Co Ltd;0.0041%;Utilities;JP;US$2,119,511.05;105,100
8804;Tokyo Tatemono Co Ltd;0.004%;Real Estate;JP;US$2,095,866.71;94,800
6370;Kurita Water Industries Ltd;0.004%;Industrials;JP;US$2,095,573.21;52,600
1402;Far Eastern New Century Corp;0.004%;Industrials;TW;US$2,097,340.52;2,334,221
AMP;AMP Ltd;0.004%;Financials;AU;US$2,092,040.82;1,838,651
3800;GCL Technology Holdings Ltd;0.004%;Energy;HK;US$2,089,776.00;14,026,000
3443;Global Unichip Corp;0.004%;Technology;TW;US$2,088,258.72;29,000
3908;China International Capital Corp Ltd;0.004%;Financials;HK;US$2,083,612.82;855,600
KLK;Kuala Lumpur Kepong Bhd;0.004%;Basic Materials;MY;US$2,084,767.09;426,500
ADNOCDRI;ADNOC Drilling Co PJSC;0.004%;Energy;AE;US$2,088,613.82;1,466,762
024110;Industrial Bank of Korea;0.004%;Financials;KR;US$2,083,603.58;149,112
GMRAIRPO;GMR Airports Infrastructure Ltd;0.004%;Industrials;IN;US$2,088,352.30;1,724,023
600460;Hangzhou Silan Microelectronics Co Ltd;0.004%;Technology;CN;US$2,081,825.02;526,900
QGTS;Qatar Gas Transport Co Ltd;0.004%;Industrials;QA;US$2,075,289.60;1,674,303
601888;China Tourism Group Duty Free Corp Ltd;0.004%;Consumer Discretionary;CN;US$2,073,845.05;185,498
9023;Tokyo Metro Co Ltd;0.004%;Industrials;JP;US$2,077,221.72;201,900
UOL;UOL Group Ltd;0.004%;Real Estate;SG;US$2,077,776.32;319,600
BCVN;Banque Cantonale Vaudoise;0.004%;Financials;CH;US$2,074,518.71;17,102
5631;Japan Steel Works Ltd/The;0.004%;Industrials;JP;US$2,071,291.25;35,000
EMBASSY;Embassy Office Parks REIT;0.004%;Real Estate;IN;US$2,070,341.64;433,886
OPCE;OPC Energy Ltd;0.004%;Utilities;IL;US$2,072,555.05;100,407.89
8334;Gunma Bank Ltd/The;0.004%;Financials;JP;US$2,068,506.57;186,100
352820;HYBE Co Ltd;0.004%;Consumer Discretionary;KR;US$2,066,247.58;10,146
ENLT;Enlight Renewable Energy Ltd;0.004%;Utilities;IL;US$2,056,993.12;52,196
BJHI;Bajaj Holdings & Investment Ltd;0.004%;Financials;IN;US$2,053,165.59;15,971
ADANIENS;Adani Energy Solutions Ltd;0.0039%;Utilities;IN;US$2,051,598.85;184,516
GOTO;GoTo Gojek Tokopedia Tbk PT;0.0039%;Technology;ID;US$2,050,598.04;533,636,100
8960;United Urban Investment Corp;0.0039%;Real Estate;JP;US$2,045,402.11;1,730
028300;HLB Inc;0.0039%;Health Care;KR;US$2,046,678.82;64,178
2181;Persol Holdings Co Ltd;0.0039%;Industrials;JP;US$2,045,952.84;1,136,600
2353;Acer Inc;0.0039%;Technology;TW;US$2,041,906.71;2,351,752
6881;China Galaxy Securities Co Ltd;0.0039%;Financials;HK;US$2,031,920.47;1,554,000
6448;Brother Industries Ltd;0.0039%;Technology;JP;US$2,032,601.73;101,500
2268;WuXi XDC Cayman Inc;0.0039%;Health Care;HK;US$2,030,180.72;241,500
5929;Sanwa Holdings Corp;0.0039%;Industrials;JP;US$2,024,751.68;78,500
HTO;Hellenic Telecommunications Organization SA;0.0039%;Telecommunications;GR;US$2,022,793.91;101,868
SDR;Schroders PLC;0.0039%;Financials;GB;US$2,024,842.56;393,456
CMIG4;Cia Energetica de Minas Gerais;0.0039%;Utilities;BR;US$2,016,946.59;937,126
601601;China Pacific Insurance Group Co Ltd;0.0039%;Financials;CN;US$2,018,453.94;410,600
6030;CITIC Securities Co Ltd;0.0039%;Financials;HK;US$2,014,666.80;586,589
MALLPLAZ;Plaza SA;0.0039%;Real Estate;CL;US$2,011,164.29;583,797
RAIL3;Rumo SA;0.0039%;Industrials;BR;US$2,014,992.83;638,962
JOMAR;Jabal Omar Development Co;0.0039%;Real Estate;SA;US$2,012,737.42;497,410
SWB;Sunway Bhd;0.0039%;Real Estate;MY;US$2,006,444.04;1,521,400
3092;ZOZO Inc;0.0039%;Consumer Discretionary;JP;US$2,003,689.84;232,300
1044;Hengan International Group Co Ltd;0.0039%;Consumer Staples;HK;US$2,002,071.77;555,500
SOIL;Solar Industries India Ltd;0.0038%;Basic Materials;IN;US$1,995,677.91;13,450
144;China Merchants Port Holdings Co Ltd;0.0038%;Industrials;HK;US$1,996,588.57;992,000
9506;Tohoku Electric Power Co Inc;0.0038%;Utilities;JP;US$1,998,245.43;270,800
VESTA*;Corp Inmobiliaria Vesta SAB de CV;0.0038%;Real Estate;MX;US$1,992,047.48;639,700
000720;Hyundai Engineering & Construction Co Ltd;0.0038%;Industrials;KR;US$1,994,123.01;43,771
VOD;Vodacom Group Ltd;0.0038%;Telecommunications;ZA;US$1,990,078.79;254,025
TIMS3;TIM SA/Brazil;0.0038%;Telecommunications;BR;US$1,990,579.99;419,900
2607;Shanghai Pharmaceuticals Holding Co Ltd;0.0038%;Health Care;HK;US$1,994,575.76;1,314,900
1878;Daito Trust Construction Co Ltd;0.0038%;Real Estate;JP;US$1,990,028.84;104,000
MAP;Mapfre SA;0.0038%;Financials;ES;US$1,980,530.72;427,920
079550;LIG Nex1 Co Ltd;0.0038%;Industrials;KR;US$1,976,396.15;7,589
2267;Yakult Honsha Co Ltd;0.0038%;Consumer Staples;JP;US$1,979,131.00;126,368
DIE;D'ieteren Group;0.0038%;Consumer Discretionary;BE;US$1,977,925.33;11,362
RHBBANK;RHB Bank Bhd;0.0038%;Financials;MY;US$1,967,626.15;1,169,959
WDP;Warehouses De Pauw CVA;0.0038%;Real Estate;BE;US$1,966,164.32;75,700
BOCHGR;Bank of Cyprus Holdings PLC;0.0038%;Financials;GR;US$1,953,651.27;210,423
BBNI;Bank Negara Indonesia Persero Tbk PT;0.0038%;Financials;ID;US$1,957,246.83;7,652,100
GENS;Genting Singapore Ltd;0.0038%;Consumer Discretionary;SG;US$1,954,646.18;3,331,000
5830;Iyogin Holdings Inc;0.0038%;Financials;JP;US$1,952,597.89;118,700
LATOB;Investment AB Latour;0.0038%;Industrials;SE;US$1,950,877.89;81,525
000063;ZTE Corp;0.0037%;Telecommunications;CN;US$1,947,615.55;327,099
4536;Santen Pharmaceutical Co Ltd;0.0037%;Health Care;JP;US$1,943,384.81;189,600
3036;WT Microelectronics Co Ltd;0.0037%;Technology;TW;US$1,945,547.24;427,000
SEBC;Skandinaviska Enskilda Banken AB;0.0037%;Financials;SE;US$1,941,516.77;96,991
4904;Far EasTone Telecommunications Co Ltd;0.0037%;Telecommunications;TW;US$1,939,687.75;691,000
011200;HMM Co Ltd;0.0037%;Industrials;KR;US$1,935,422.12;148,711
FRA;Fraport AG Frankfurt Airport Services Worldwide;0.0037%;Industrials;DE;US$1,937,006.83;23,069
LTF;L&T Finance Ltd;0.0037%;Financials;IN;US$1,936,906.98;554,671
600000;Shanghai Pudong Development Bank Co Ltd;0.0037%;Financials;CN;US$1,935,388.38;1,191,739
BHEL;Bharat Heavy Electricals Ltd;0.0037%;Industrials;IN;US$1,929,906.28;593,520
LODHA;Lodha Developers Ltd;0.0037%;Real Estate;IN;US$1,925,910.62;150,033
6417;Sankyo Co Ltd;0.0037%;Consumer Discretionary;JP;US$1,920,229.41;110,900
3197;Skylark Holdings Co Ltd;0.0037%;Consumer Discretionary;JP;US$1,916,792.05;80,842
7747;Asahi Intecc Co Ltd;0.0037%;Health Care;JP;US$1,911,967.50;101,952
ZAIN;Mobile Telecommunications Co KSCP;0.0037%;Telecommunications;KW;US$1,912,444.63;1,128,894
1997;Wharf Real Estate Investment Co Ltd;0.0037%;Real Estate;HK;US$1,911,652.28;606,000
SONACOMS;Sona Blw Precision Forgings Ltd;0.0037%;Consumer Discretionary;IN;US$1,909,432.95;333,745
4506;Sumitomo Pharma Co Ltd;0.0037%;Health Care;JP;US$1,908,638.26;109,100
603259;WuXi AppTec Co Ltd;0.0037%;Health Care;CN;US$1,904,219.08;147,613
021240;Coway Co Ltd;0.0037%;Consumer Discretionary;KR;US$1,899,350.63;32,480
2618;Eva Airways Corp;0.0036%;Consumer Discretionary;TW;US$1,892,140.93;1,741,491
1038;CK Infrastructure Holdings Ltd;0.0036%;Utilities;HK;US$1,886,527.69;272,500
2359;WuXi AppTec Co Ltd;0.0036%;Health Care;HK;US$1,890,220.92;145,420
UNBK;Union Bank of India Ltd;0.0036%;Financials;IN;US$1,885,748.34;1,100,512
360ONE;360 ONE WAM Ltd;0.0036%;Financials;IN;US$1,885,712.39;142,556
OUT;OUTsurance Group Ltd;0.0036%;Financials;ZA;US$1,876,242.01;443,246
EDPR;EDP Renovaveis SA;0.0036%;Utilities;PT;US$1,873,634.72;140,753
TIINDIA;Tube Investments of India Ltd;0.0036%;Basic Materials;IN;US$1,872,526.32;60,154
BEN;Bendigo & Adelaide Bank Ltd;0.0036%;Financials;AU;US$1,867,684.65;278,120
3283;Nippon Prologis REIT Inc;0.0036%;Real Estate;JP;US$1,866,321.69;3,095
5871;Chailease Holding Co Ltd;0.0036%;Financials;TW;US$1,869,303.14;569,593
1102;Asia Cement Corp;0.0036%;Industrials;TW;US$1,867,970.58;1,510,986
FUNO11;Fibra Uno Administracion SA de CV;0.0036%;Real Estate;MX;US$1,865,659.07;1,284,200
086280;Hyundai Glovis Co Ltd;0.0036%;Industrials;KR;US$1,861,929.35;16,656
3481;Innolux Corp;0.0036%;Technology;TW;US$1,863,282.37;4,315,802
IP;Interpump Group SpA;0.0036%;Industrials;IT;US$1,855,625.41;36,505
MANKIND;Mankind Pharma Ltd;0.0036%;Health Care;IN;US$1,855,635.84;73,737
6965;Hamamatsu Photonics KK;0.0036%;Technology;JP;US$1,845,386.09;181,400
600999;China Merchants Securities Co Ltd;0.0036%;Financials;CN;US$1,847,242.38;801,600
489;Dongfeng Motor Group Co Ltd;0.0036%;Consumer Discretionary;HK;US$1,845,766.54;1,562,000
257;China Everbright Environment Group Ltd;0.0035%;Utilities;HK;US$1,842,016.84;2,856,814
WAAREEEN;WAAREE Energies Ltd;0.0035%;Energy;IN;US$1,841,874.81;51,931
9072;Nikkon Holdings Co Ltd;0.0035%;Industrials;JP;US$1,840,800.38;77,700
RY;Royal Bank of Canada;0.0035%;Financials;US;US$1,840,913.23;11,947
9041;Kintetsu Group Holdings Co Ltd;0.0035%;Industrials;JP;US$1,830,169.18;96,600
IIB;IndusInd Bank Ltd;0.0035%;Financials;IN;US$1,827,231.67;190,369
MRF;MRF Ltd;0.0035%;Consumer Discretionary;IN;US$1,814,777.38;1,065
7649;Sugi Holdings Co Ltd;0.0035%;Consumer Staples;JP;US$1,809,340.60;76,600
ADANIGR;Adani Green Energy Ltd;0.0035%;Utilities;IN;US$1,799,497.40;153,559
EMAARDEV;Emaar Development PJSC;0.0035%;Real Estate;AE;US$1,795,590.48;448,635
AC;Ayala Corp;0.0035%;Real Estate;PH;US$1,796,730.33;221,830
4042;Tosoh Corp;0.0035%;Basic Materials;JP;US$1,796,994.23;119,100
DOW;Downer EDI Ltd;0.0035%;Industrials;AU;US$1,793,483.90;345,740
601857;PetroChina Co Ltd;0.0035%;Energy;CN;US$1,795,121.62;1,301,500
135;Kunlun Energy Co Ltd;0.0034%;Energy;HK;US$1,788,406.80;1,874,000
3249;Industrial & Infrastructure Fund Investment Corp;0.0034%;Real Estate;JP;US$1,783,143.86;1,844
CVC;CVC Capital Partners PLC;0.0034%;Financials;NL;US$1,778,619.16;107,624
1209;China Resources Mixc Lifestyle Services Ltd;0.0034%;Real Estate;HK;US$1,777,217.43;312,200
4980;Dexerials Corp;0.0034%;Technology;JP;US$1,781,756.81;93,100
5838;Rakuten Bank Ltd;0.0034%;Financials;JP;US$1,776,410.12;37,400
PI;PI Industries Ltd;0.0034%;Basic Materials;IN;US$1,774,910.18;46,755
ENELCHIL;Enel Chile SA;0.0034%;Utilities;CL;US$1,767,906.26;22,688,456
TTKOM;Turk Telekomunikasyon AS;0.0034%;Telecommunications;TR;US$1,769,355.99;1,348,281
9698;GDS Holdings Ltd;0.0034%;Technology;HK;US$1,767,038.22;413,385
1969;Takasago Thermal Engineering Co Ltd;0.0034%;Industrials;JP;US$1,758,005.77;60,400
PPC;Public Power Corp SA;0.0034%;Utilities;GR;US$1,754,881.78;86,903
QIIK;Qatar International Islamic Bank QSC;0.0034%;Financials;QA;US$1,749,241.40;576,379
LREN3;Lojas Renner SA;0.0034%;Consumer Discretionary;BR;US$1,747,232.46;592,750
2809;Kewpie Corp;0.0034%;Consumer Staples;JP;US$1,744,498.56;61,800
142;First Pacific Co Ltd;0.0034%;Consumer Staples;HK;US$1,742,172.09;2,166,750
3405;Kuraray Co Ltd;0.0034%;Basic Materials;JP;US$1,744,179.43;177,200
4021;Nissan Chemical Corp;0.0033%;Basic Materials;JP;US$1,735,422.62;51,300
1972;Swire Properties Ltd;0.0033%;Real Estate;HK;US$1,739,395.81;634,000
1605;Walsin Lihwa Corp;0.0033%;Industrials;TW;US$1,735,083.13;1,845,952
425;Minth Group Ltd;0.0033%;Consumer Discretionary;HK;US$1,731,381.01;396,000
OMU;Old Mutual Ltd;0.0033%;Financials;ZA;US$1,731,798.77;2,138,528
MISC;MISC Bhd;0.0033%;Industrials;MY;US$1,732,722.83;953,459
AUBANK;AU Small Finance Bank Ltd;0.0033%;Financials;IN;US$1,728,030.94;161,809
6818;China Everbright Bank Co Ltd;0.0033%;Financials;HK;US$1,727,805.18;3,540,000
TEVA;Teva Pharmaceutical Industries Ltd;0.0033%;Health Care;US;US$1,725,988.43;64,187
5347;Vanguard International Semiconductor Corp;0.0033%;Technology;TW;US$1,724,880.69;598,181
6406;Fujitec Co Ltd;0.0033%;Industrials;JP;US$1,723,775.07;47,300
2474;Catcher Technology Co Ltd;0.0033%;Technology;TW;US$1,716,361.32;268,000
4186;Tokyo Ohka Kogyo Co Ltd;0.0033%;Basic Materials;JP;US$1,716,674.78;44,700
SKBN;Shikun & Binui Ltd;0.0033%;Industrials;IL;US$1,715,650.15;303,888.5
2282;NH Foods Ltd;0.0033%;Consumer Staples;JP;US$1,708,244.79;38,600
BUPA;Bupa Arabia for Cooperative Insurance Co;0.0033%;Financials;SA;US$1,706,656.89;43,554
PEPL;Prestige Estates Projects Ltd;0.0033%;Real Estate;IN;US$1,707,949.79;91,082
LUNDB;L E Lundbergforetagen AB;0.0033%;Financials;SE;US$1,702,757.60;31,992
