This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard FTSE All-World UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
COP;ConocoPhillips;0.1175%;Energy;US;US$61,132,864.03;689,287
CFR;Cie Financiere Richemont SA;0.117%;Consumer Discretionary;CH;US$60,860,696.06;286,953
MCK;McKesson Corp;0.1167%;Consumer Staples;US;US$60,715,335.84;68,907
1299;AIA Group Ltd;0.1161%;Financials;HK;US$60,396,167.28;5,834,000
VRTX;Vertex Pharmaceuticals Inc;0.1156%;Health Care;US;US$60,157,316.96;138,736
CB;Chubb Ltd;0.1143%;Financials;US;US$59,439,179.48;200,686
PH;Parker-Hannifin Corp;0.1133%;Industrials;US;US$58,960,099.10;68,423
BX;Blackstone Inc;0.1119%;Financials;US;US$58,205,610.50;397,525
DTE;Deutsche Telekom AG;0.1117%;Telecommunications;DE;US$58,129,312.78;1,804,313
SAN;Sanofi SA;0.1116%;Health Care;FR;US$58,059,409.14;583,343
ENB;Enbridge Inc;0.1104%;Energy;CA;US$57,416,528.40;1,178,294
9984;SoftBank Group Corp;0.109%;Telecommunications;JP;US$56,712,271.71;526,000
939;China Construction Bank Corp;0.1078%;Financials;HK;US$56,081,652.02;53,443,000
EL;EssilorLuxottica SA;0.1074%;Health Care;FR;US$55,844,771.33;155,877
ADP;Automatic Data Processing Inc;0.1073%;Industrials;US;US$55,802,708.10;218,577
CME;CME Group Inc;0.1065%;Financials;US;US$55,407,652.68;196,858
SO;Southern Co/The;0.1053%;Utilities;US;US$54,766,309.20;601,035
CVS;CVS Health Corp;0.105%;Consumer Staples;US;US$54,639,335.52;679,932
NEM;Newmont Corp;0.1049%;Basic Materials;US;US$54,578,722.23;601,551
ISP;Intesa Sanpaolo SpA;0.1049%;Financials;IT;US$54,551,327.91;8,414,737
BMY;Bristol-Myers Squibb Co;0.1048%;Health Care;US;US$54,498,544.80;1,107,694
